EVENT,REQUEST,RESPONSE,,To be changed in api-events.xml
AcceptVpcEndpointConnections,ID: requestParameters.AcceptVpcEndpointConnectionsRequest.ServiceId,,,
AcceptVpcPeeringConnection,ID: requestParameters.vpcPeeringConnectionId,,,
AssignIpv6Addresses,ID: requestParameters.AssignIpv6AddressesRequest.NetworkInterfaceId,,,
AssignPrivateIpAddresses,ID: requestParameters.networkInterfaceId,,,
AssociateDhcpOptions,ID: requestParameters.dhcpOptionsId,,,
AssociateRouteTable,ID: requestParameters.routeTableId,,,
AssociateSubnetCidrBlock,ID: requestParameters.AssociateSubnetCidrBlockRequest.SubnetId,,,
AssociateVpcCidrBlock,ID: requestParameters.AssociateVpcCidrBlockRequest.VpcId,,,
AttachInternetGateway,ID: requestParameters.internetGatewayId,,,
AttachNetworkInterface,ID: requestParameters.networkInterfaceId,,,
AuthorizeSecurityGroupEgress,ID: requestParameters.groupId,,,
AuthorizeSecurityGroupIngress,ID: requestParameters.groupName,,,
CreateDefaultSubnet,,ID: responseElements.CreateDefaultSubnetResponse.subnet.subnetId,,
CreateDefaultVpc,,ID: responseElements.CreateDefaultSubnetResponse.vpc.vpcId,,
CreateDhcpOptions,,ID: responseElements.dhcpOptions.dhcpOptionsId,,
CreateEgressOnlyInternetGateway,,ID: responseElements.CreateEgressOnlyInternetGatewayResponse.egressOnlyInternetGateway.egressOnlyInternetGatewayId,,
CreateFlowLogs,,ID: responseElements.CreateFlowLogsResponse.flowLogIdSet.item[*],,
CreateInternetGateway,,ID: responseElements.internetGateway.internetGatewayId,,
CreateManagedPrefixList,,"Name: responseElements.CreateManagedPrefixListResponse.prefixList.prefixListName
ARN: responseElements.CreateManagedPrefixListResponse.prefixList.prefixListArn
ID: responseElements.CreateManagedPrefixListResponse.prefixList.prefixListId",,
CreateNatGateway,,ID: responseElements.CreateNatGatewayResponse.natGateway.natGatewayId,,
CreateNetworkAcl,,ID: responseElements.networkAcl.networkAclId,,
CreateNetworkAclEntry,ID: requestParameters.networkAclId,,,
CreateNetworkInterface,,ID: responseElements.networkInterface.networkInterfaceId,,
CreateNetworkInterfacePermission,ID: requestParameters.CreateNetworkInterfacePermissionRequest.NetworkInterfaceId,ID: responseElements.CreateNetworkInterfacePermissionResponse.interfacePermission.networkInterfacePermissionId,,
CreateRoute,ID: requestParameters.routeTableId,,,
CreateRouteTable,ID: requestParameters.VpcId,ID: responseElements.routeTable.routeTableId,,
CreateSecurityGroup,Name: requestParameters.GroupName,ID: responseElements.groupId,,
CreateSubnet,ID: requestParameters.VpcId,"ID: responseElements.subnet.subnetId
ARN: responseElements.subnet.subnetArn",,
CreateSubnetCidrReservation,ID: requestParameters.CreateSubnetCidrReservationRequest.SubnetId,ID: responseElements.CreateSubnetCidrReservationResponse.subnetCidrReservation.subnetCidrReservationId,,
CreateTrafficMirrorFilter,,ID: responseElements.CreateTrafficMirrorFilterResponse.trafficMirrorFilter.trafficMirrorFilterId,,
CreateTrafficMirrorFilterRule,ID: requestParameters.CreateTrafficMirrorFilterRuleRequest.TrafficMirrorFilterId,ID: responseElements.CreateTrafficMirrorFilterRuleResponse.trafficMirrorFilterRule.trafficMirrorFilterRuleId,,
CreateTrafficMirrorSession,,ID: responseElements.CreateTrafficMirrorSessionResponse.trafficMirrorSession.trafficMirrorSessionId,,
CreateTrafficMirrorTarget,,ID: responseElements.CreateTrafficMirrorTargetResponse.trafficMirrorTarget.trafficMirrorTargetId,,
CreateVpc,,ID: responseElements.vpc.vpcId,,
CreateVpcEndpoint,ID: requestParameters.CreateVpcEndpointRequest.VpcId,ID: responseElements.CreateVpcEndpointResponse.vpcEndpoint.vpcEndpointId,,
CreateVpcEndpointConnectionNotification,ARN: requestParameters.CreateVpcEndpointConnectionNotificationRequest.VpcEndpointId,,This is for SNS Topic,
CreateVpcEndpointServiceConfiguration,,"ID: responseElements.CreateVpcEndpointServiceConfigurationResponse.serviceConfiguration.serviceId
Name: responseElements.CreateVpcEndpointServiceConfigurationResponse.serviceConfiguration.serviceName",,
CreateVpcPeeringConnection,ID: requestParameters.vpcId,ID: responseElements.vpcPeeringConnection.vpcPeeringConnectionId,,
DeleteDhcpOptions,ID: requestParameters.dhcpOptionsId,,,
DeleteEgressOnlyInternetGateway,ID: requestParameters.DeleteEgressOnlyInternetGatewayRequest.EgressOnlyInternetGatewayId,,,
DeleteFlowLogs,ID: requestParameters.flowLogId.content,,,
DeleteInternetGateway,ID: requestParameters.internetGatewayId,,,
DeleteManagedPrefixList,ID: requestParameters.DeleteManagedPrefixListRequest.PrefixListId,"Name: responseElements.DeleteManagedPrefixListResponse.prefixList.prefixListName
ARN: responseElements.DeleteManagedPrefixListResponse.prefixList.prefixListArn
ID: responseElements.DeleteManagedPrefixListResponse.prefixList.prefixListId",,
DeleteNatGateway,ID: requestParameters.DeleteNatGatewayRequest.NatGatewayId,ID: responseElements.DeleteNatGatewayResponse.NatGatewayId,,
DeleteNetworkAcl,ID: requestParameters.networkAclId,,,
DeleteNetworkAclEntry,ID: requestParameters.networkAclId,,,
DeleteNetworkInterface,ID: requestParameters.networkInterfaceId,,,
DeleteNetworkInterfacePermission,ID: requestParameters.DeleteNetworkInterfacePermissionRequest.NetworkInterfacePermissionId,,,
DeleteRoute,ID: requestParameters.routeTableId,,,
DeleteRouteTable,ID: requestParameters.routeTableId,,,
DeleteSecurityGroup,"ID: requestParameters.groupId
Name: requestParameters.groupName",,,
DeleteSubnet,ID: requestParameters.subnetId,,,
DeleteSubnetCidrReservation,ID: requestParameters.DeleteSubnetCidrReservationRequest.SubnetCidrReservationId,,,
DeleteTrafficMirrorFilter,ID: requestParameters.DeleteTrafficMirrorFilterRequest.TrafficMirrorFilterId,,,
DeleteTrafficMirrorFilterRule,ID: requestParameters.DeleteTrafficMirrorFilterRuleRequest.TrafficMirrorFilterRuleId,,,
DeleteTrafficMirrorSession,ID: requestParameters.DeleteTrafficMirrorSessionRequest.TrafficMirrorSessionId,,,
DeleteTrafficMirrorTarget,ID: requestParameters.DeleteTrafficMirrorTarget.TrafficMirrorTargetId,,,
DeleteVpc,ID: requestParameters.vpcId,,,
DeleteVpcEndpointConnectionNotifications,ID: requestParameters.DeleteVpcEndpointConnectionNotificationsRequest.ConnectionNotificationId[*].content,,,
DeleteVpcEndpoints,ID: requestParameters.DeleteVpcEndpointsRequest.VpcEndpointId.content,,,
DeleteVpcEndpointServiceConfigurations,ID: requestParameters.DeleteVpcEndpointServiceConfigurationsRequest.ServiceId.content,,,
DeleteVpcPeeringConnection,ID: requestParameters.vpcPeeringConnectionId,,,
DetachInternetGateway,ID: requestParameters.internetGatewayId,,,
DetachNetworkInterface,ID: requestParameters.AttachmentId,,,
DisassociateRouteTable,ID: requestParameters.associationId,,,
DisassociateSubnetCidrBlock,ID: requestParameters.DisassociateSubnetCidrBlockRequest.AssociationId,,,
DisassociateVpcCidrBlock,ID: requestParameters.DisassociateVpcCidrBlockResponse.AssociationId,,,
ModifyManagedPrefixList,"ID: requestParameters.ModifyManagedPrefixListRequest.PrefixListId
NAME: requestParameters.ModifyManagedPrefixListRequest.PrefixListName","Name: responseElements.ModifyManagedPrefixListResponse.prefixList.prefixListName
ARN: responseElements.ModifyManagedPrefixListResponse.prefixList.prefixListArn
ID: responseElements.ModifyManagedPrefixListResponse.prefixList.prefixListId",,
ModifyNetworkInterfaceAttribute,ID: requestParameters.networkInterfaceId,,,
ModifySecurityGroupRules,ID: requestParameters.ModifySecurityGroupRulesRequest.GroupId,,,
ModifySubnetAttribute,ID: requestParameters.subnetId,,,
ModifyTrafficMirrorFilterNetworkServices,ID: requestParameters.ModifyTrafficMirrorFilterNetworkServicesRequest.TrafficMirrorFilterId,,,
ModifyTrafficMirrorFilterRule,ID: requestParameters.ModifyTrafficMirrorFilterRuleRequest.TrafficMirrorFilterRuleId,,,
ModifyTrafficMirrorSession,ID: requestParameters.ModifyTrafficMirrorSessionRequest.TrafficMirrorSessionId,,,
ModifyVpcAttribute,ID: requestParameters.vpcId,,,
ModifyVpcEndpoint,ID: requestParameters.ModifyVpcEndpointRequest.VpcEndpointId,,,
ModifyVpcEndpointConnectionNotification,ID: requestParameters.ModifyVpcEndpointConnectionNotificationRequest.ConnectionNotificationId,,,
ModifyVpcEndpointServiceConfiguration,ID: requestParameters.ModifyVpcEndpointServiceConfigurationRequest.ServiceId,,,
ModifyVpcEndpointServicePayerResponsibility,ID: requestParameters.ModifyVpcEndpointServicePayerResponsibilityRequest.ServiceId,,,
ModifyVpcEndpointServicePermissions,ID: requestParameters.ModifyVpcEndpointServicePermissionsRequest.ServiceId,,,
ModifyVpcPeeringConnectionOptions,ID: requestParameters.ModifyVpcPeeringConnectionOptionsRequest.VpcPeeringConnectionId,,,
ModifyVpcTenancy,ID: requestParameters.ModifyVpcTenancyRequest.VpcId,,,
RejectVpcEndpointConnections,ID: requestParameters.RejectVpcEndpointConnectionsRequest.VpcEndpointId[*].content,,,
RejectVpcPeeringConnection,ID: requestParameters.vpcPeeringConnectionId,,,
ReplaceNetworkAclAssociation,ID: requestParameters.networkAclId,,,
ReplaceNetworkAclEntry,ID: requestParameters.networkAclId,,,
ReplaceRoute,ID: requestParameters.routeTableId,,,
ReplaceRouteTableAssociation,ID: requestParameters.routeTableId,,,
ResetNetworkInterfaceAttribute,ID: requestParameters.networkInterfaceId,,,
RestoreManagedPrefixListVersion,ID: requestParameters.RestoreManagedPrefixListVersionRequest.PrefixListId,ARN: responseElements.RestoreManagedPrefixListVersionResponse.prefixList.prefixListArn,,
RevokeSecurityGroupEgress,ID: requestParameters.groupId,,,
RevokeSecurityGroupIngress,"ID: requestParameters.groupId
Name: requestParameters.groupName",,,
StartVpcEndpointServicePrivateDnsVerification,ID: requestParameters.StartVpcEndpointServicePrivateDnsVerificationRequest.ServiceId,,,
UnassignIpv6Addresses,ID: requestParameters.UnassignIpv6AddressesRequest.NetworkInterfaceId,,,
UnassignPrivateIpAddresses,ID: requestParameters.networkInterfaceId,,,
UpdateSecurityGroupRuleDescriptionsEgress,"ID: requestParameters.UpdateSecurityGroupRuleDescriptionsEgressRequest.GroupId
Name: ID: requestParameters.UpdateSecurityGroupRuleDescriptionsEgressRequest.GroupName",,,
UpdateSecurityGroupRuleDescriptionsIngress,"ID: requestParameters.UpdateSecurityGroupRuleDescriptionsIngressRequest.GroupId
Name: requestParameters.UpdateSecurityGroupRuleDescriptionsIngressRequest.GroupName",,,
AcceptTransitGatewayMulticastDomainAssociations,ID: requestParameters.AcceptTransitGatewayMulticastDomainAssociationsRequest.TransitGatewayMulticastDomainId,,,
AcceptTransitGatewayPeeringAttachment,ID: requestParameters.AcceptTransitGatewayPeeringAttachmentRequest.TransitGatewayAttachmentId,,,
AcceptTransitGatewayVpcAttachment,ID: requestParameters.AcceptTransitGatewayVpcAttachmentRequest.TransitGatewayAttachmentId,,,
AssociateTransitGatewayMulticastDomain,ID: requestParameters.AssociateTransitGatewayMulticastDomainRequest.TransitGatewayMulticastDomainId,,,
AssociateTransitGatewayPolicyTable,ID: requestParameters.AssociateTransitGatewayPolicyTableRequest.TransitGatewayPolicyTableId,,,
AssociateTransitGatewayRouteTable,ID: requestParameters.AssociateTransitGatewayRouteTableRequest.TransitGatewayRouteTableId,,,
CreateTransitGateway,,"ARN: responseElements.CreateTransitGatewayResponse.transitGateway.transitGatewayArn
ID: responseElements.CreateTransitGatewayResponse.transitGateway.transitGatewayId",,
CreateTransitGatewayConnect,ID: requestParameters.CreateTransitGatewayConnectRequest.TransportTransitGatewayAttachmentId,ID: responseElements.CreateTransitGatewayConnectResponse.transitGatewayConnect.transitGatewayAttachmentId,,
CreateTransitGatewayConnectPeer,ID: requestParameters.CreateTransitGatewayConnectPeerRequest.TransitGatewayAttachmentId,,,
CreateTransitGatewayMulticastDomain,ID: requestParameters.CreateTransitGatewayMulticastDomainRequest.TransitGatewayId,"ARN: responseElements.CreateTransitGatewayMulticastDomainResponse.transitGatewayMulticastDomain.transitGatewayMulticastDomainArn
ID: responseElements.CreateTransitGatewayMulticastDomainResponse.transitGatewayMulticastDomain.transitGatewayMulticastDomainId",,
CreateTransitGatewayPeeringAttachment,ID: requestParameters.CreateTransitGatewayPeeringAttachmentRequest.TransitGatewayId,,,
CreateTransitGatewayPolicyTable,ID: requestParameters.CreateTransitGatewayPolicyTableRequest.TransitGatewayId,ID: responseElements.CreateTransitGatewayPolicyTableResponse.transitGatewayPolicyTable.transitGatewayPolicyTableId,,
