EVENT,REQUEST,RESPONSE
DeleteAlarms,NAME: requestParamters.alarmNames[*],
DeleteAnomalyDetector,,
DeleteDashboards,NAME: requestParamters.dashboardNames[*],
DeleteInsightRules,NAME: requestParamters.ruleNames[*],
DeleteMetricStream,NAME: requestParamters.name,
DisableAlarmActions,NAME: requestParamters.alarmNames[*],
DisableInsightRules,NAME: requestParamters.ruleNames[*],
EnableAlarmActions,NAME: requestParamters.alarmNames[*],
EnableInsightRules,NAME: requestParamters.ruleNames[*],
PutAnomalyDetector,,
PutCompositeAlarm,NAME: requestParamters.alarmName,
PutDashboard,NAME: requestParamters.dashboardName,
PutInsightRule,NAME: requestParamters.ruleName,
PutManagedInsightRules,ARN: requestParamters.managedRules.resourceARN,
PutMetricAlarm,NAME: requestParamters.alarmName,
PutMetricData,,
PutMetricStream,NAME: requestParamters.name,ARN: responseElements.arn
SetAlarmState,NAME: requestParamters.alarmName,
StartMetricStreams,NAME: requestParamters.name[*],
StopMetricStreams,NAME: requestParamters.name[*],
TagResource,ARN: requestParamters.resourceARN,
UntagResource,ARN: requestParamters.resourceARN,
