EVENT,REQUEST,RESPONSE
AssociateKmsKey,NAME: requestParameters.logGroupName,
CancelExportTask,,
CreateDelivery,,
CreateExportTask,NAME: requestParameters.logGroupName,
CreateLogAnomalyDetector,,
CreateLogGroup,NAME: requestParameters.logGroupName,
CreateLogStream,"NAME: requestParameters.logGroupName
NAME: requestParameters.logStreamName",
DeleteAccountPolicy,,
DeleteDataProtectionPolicy,NAME/ARN: requestParameters.logGroupIdentifier,
DeleteDelivery,,
DeleteDeliveryDestination,,
DeleteDeliveryDestinationPolicy,,
DeleteDeliverySource,,
DeleteDestination,NAME: requestParameters.destinationName,
DeleteIndexPolicy,,
DeleteIntegration,,
DeleteLogAnomalyDetector,,
DeleteLogGroup,NAME: requestParameters.logGroupName,
DeleteLogStream,"NAME: requestParameters.logGroupName
NAME: requestParameters.logStreamName",
DeleteMetricFilter,NAME: requestParameters.logGroupName,
DeleteQueryDefinition,,
DeleteResourcePolicy,,
DeleteRetentionPolicy,NAME: requestParameters.logGroupName,
DeleteSubscriptionFilter,NAME: requestParameters.logGroupName,
DeleteTransformer,,
DisassociateKmsKey,NAME: requestParameters.logGroupName,
FilterLogEvents,NAME/ARN: requestParameters.logGroupIdentifier,NAME: responseElements.searchedLogStreams.logStreamName
PutAccountPolicy,,
PutDataProtectionPolicy,NAME/ARN: requestParameters.logGroupIdentifier,NAME/ARN: responseElements.logGroupIdentifier
PutDeliveryDestination,,
PutDeliveryDestinationPolicy,,
PutDeliverySource,,
PutDestination,NAME: requestParameters.destinationName,"NAME: responseElements.delieveryDestination.destinationName
ARN: responseElements.deliveryDestination.arn"
PutDestinationPolicy,NAME: requestParameters.destinationName,
PutIndexPolicy,,
PutIntegration,,
PutLogEvents,"NAME: requestParameters.logGroupName
NAME: requestParameters.logStreamName",
PutMetricFilter,NAME: requestParameters.logGroupName,
PutQueryDefinition,NAME: requestParameters.logGroupNames[*],
PutResourcePolicy,,
PutRetentionPolicy,NAME: requestParameters.logGroupName,
PutSubscriptionFilter,NAME: requestParameters.logGroupName,
PutTransformer,,
StartLiveTail,,
StartQuery,NAME/ARN: requestParameters.logGroupIdentifiers[*],
StopQuery,,
TagLogGroup,NAME: requestParameters.logGroupName,
TagResource,ARN: requestParameters.resourceArn,
TestMetricFilter,,
TestTransformer,,
UntagLogGroup,NAME: requestParameters.logGroupName,
UntagResource,ARN: requestParameters.resourceArn,
UpdateAnomaly,,
UpdateDeliveryConfiguration,,
UpdateLogAnomalyDetector,,
