EVENT,REQUEST,RESPONSE
DeleteAggregationAuthorization,,
DeleteConfigRule,NAME: requestParameters.configRuleName,
DeleteConfigurationAggregator,,
DeleteConfigurationRecorder,NAME: requestParameters.configurationRecorderName,
DeleteConformancePack,NAME: requestParameters.conformancePackName,
DeleteDeliveryChannel,NAME: requestParameters.deliveryChannelName,
DeleteEvaluationResults,NAME: requestParameters.configRuleName,
DeleteOrganizationConfigRule,,
DeleteOrganizationConformancePack,,
DeletePendingAggregationRequest,,
DeleteRemediationConfiguration,,
DeleteRemediationExceptions,,
DeleteResourceConfig,,
DeleteRetentionConfiguration,,
DeleteStoredQuery,,
PutAggregationAuthorization,,
PutConfigRule,"ARN: requestParameters.configRule.configRuleArn
ID: requestParameters.configRule.configRuleId",
PutConfigurationAggregator,,
PutConfigurationRecorder,,
PutConformancePack,,
PutDeliveryChannel,NAME: requestParameters.deliveryChannel.name,
PutEvaluations,ID: requestParameters.evaluations.complianceResourceId,
PutExternalEvaluation,,
PutOrganizationConfigRule,,
PutOrganizationConformancePack,,
PutRemediationConfigurations,,
PutRemediationExceptions,,
PutResourceConfig,,
PutRetentionConfiguration,,
PutStoredQuery,,
StartConfigRulesEvaluation,NAME: requestParameters.configRuleNames,
StartConfigurationRecorder,NAME: requestParameters.configurationRecorderName,
StartRemediationExecution,NAME: requestParameters.configRuleName,
StartResourceEvaluation,,
StopConfigurationRecorder,NAME: requestParameters.configurationRecorderName,
TagResource,ARN: requestParameters.resourceArn,
UntagResource,ARN: requestParameters.resourceArn,
