EVENT,REQUEST,RESPONSE
AddSourceIdentifierToSubscription,"ID: requestParameters.sourceIdentifier
NAME: requestParameters.subscriptionName","ARN: responseElements.eventSubscriptionArn
NAME: responseElements.custSubscriptionId
ID: responseElements.custSubscriptionId.sourceIdsList[*]"
AddTagsToResource,NAME: requestParameters.resourceName,
ApplyPendingMaintenanceAction,ARN: requestParameters.resourceIdentifier,ARN: responseElements.resourceIdentifier
CopyDBClusterParameterGroup,"ARN: requestParameters.sourceDBClusterParameterGroupIdentifier
NAME: requestParameters.targetDBClusterParameterGroupIdentifier","ARN: responseElements.dBClusterParameterGroupArn
NAME: responseElements.dBClusterParameterGroupName"
CopyDBClusterSnapshot,"NAME: requestParameters.sourceDBClusterSnapshotIdentifier
NAME: requestParameters.targetDBClusterSnapshotIdentifier","NAME: responseElements.dBClusterSnapshotIdentifier
NAME: responseElements.dBClusterIdentifier
ARN: responseElements.sourceDBClusterSnapshotArn
ARN: responseElements.dBClusterSnapshotArn"
CreateDBCluster,NAME: requestParameters.dBClusterIdentifier,"ARN: responseElements.dBClusterArn
NAME: responseElements.dBClusterIdentifier
ID: responseElements.dbClusterResourceId
NAME: responseElements.dBSubnetGroup"
CreateDBClusterParameterGroup,NAME: requestParameters.dBClusterParameterGroupName,"ARN: responseElements.dBClusterParameterGroupArn
NAME: responseElements.dBClusterParameterGroupName"
CreateDBClusterSnapshot,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.dBClusterSnapshotIdentifier",
CreateDBInstance,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.dBInstanceIdentifier","ARN: responseElements.dBInstanceArn
NAME: responseElements.dBInstanceIdentifier
ID: responseElements.dbiResourceId
NAME: responseElements.dBParameterGroups[*].dBParameterGroupName
NAME: responseElements.dBSubnetGroup[*].dBSubnetGroupName
NAME: responseElements.dBClusterIdentifier"
CreateDBSubnetGroup,"NAME: requestParameters.dBSubnetGroupName
ID: requestParameters.subnetIds[*]","NAME: responseElements.dBSubnetGroupName
ARN: responseElements.dBSubnetGroupArn
ID: responseElements.subnets[*].subnetIdentifier"
CreateEventSubscription,NAME: requestParameters.subscriptionName,"ID: responseElements.custSubscriptionId
ARN:responseElements.eventSubscriptionArn"
