EVENT,REQUEST,RESPONSE,NOTE
AddTagsToResource,ARN: requestParameters.ResourceName,,
AuthorizeCacheSecurityGroupIngress,Name: requestParameters.CacheSecurityGroupName,,This is for EC2 security group
BatchApplyUpdateAction,,"ID: responseElements.ProcessedUpdateActions.ProcessedUpdateAction[*].CacheClusterId
ID: responseElements.ProcessedUpdateActions.ProcessedUpdateAction[*].ReplicationGroupId",
BatchStopUpdateAction,,"ID: responseElements.ProcessedUpdateActions.ProcessedUpdateAction[*].CacheClusterId
ID: responseElements.ProcessedUpdateActions.ProcessedUpdateAction[*].ReplicationGroupId",
CompleteMigration,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
CopyServerlessCacheSnapshot,,,
CopySnapshot,"ID: requestParameters.SourceSnapshotName
ID: requestParameters.TargetSnapshotName",ARN: responseElements.Snapshot.ARN,
CreateCacheCluster,ID: requestParameters.CacheClusterId,ARN: responseElements.CacheCluster.ARN,
CreateCacheParameterGroup,Name: requestParameters.CacheParameterGroupName,ARN: responseElements.CacheParameterGroup.ARN,
CreateCacheSecurityGroup,Name: requestParameters.CacheSecurityGroupName,ARN: responseElements.CacheSecurityGroup.ARN,
CreateCacheSubnetGroup,Name: requestParameters.CacheSubnetGroupName,ARN: responseElements.CacheSubnetGroup.ARN,
CreateGlobalReplicationGroup,ID: requestParameters.PrimaryReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
CreateReplicationGroup,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
CreateServerlessCache,,,
CreateServerlessCacheSnapshot,,,
CreateSnapshot,Name: requestParameters.SnapshotName,ARN: responseElements.Snapshot.ARN,
CreateUser,ID: requestParameters.UserId,ARN: responseElements.ARN,
CreateUserGroup,ID: requestParameters.UserGroupId,ARN: responseElements.ARN,
DecreaseNodeGroupsInGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
DecreaseReplicaCount,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
DeleteCacheCluster,ID: requestParameters.CacheClusterId,ARN: responseElements.CacheCluster.ARN,
DeleteCacheParameterGroup,Name: requestParameters.CacheParameterGroupName,,
DeleteCacheSecurityGroup,Name: requestParameters.CacheSecurityGroupName,,
DeleteCacheSubnetGroup,Name: requestParameters.CacheSubnetGroupName,,
DeleteGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
DeleteReplicationGroup,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
DeleteServerlessCache,,,
DeleteServerlessCacheSnapshot,,,
DeleteSnapshot,Name: requestParameters.SnapshotName,ARN: responseElements.Snapshot.ARN,
DeleteUser,ID: requestParameters.UserId,ARN: responseElements.ARN,
DeleteUserGroup,ID: requestParameters.UserGroupId,ARN: responseElements.ARN,
DisassociateGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
ExportServerlessCacheSnapshot,,,
FailoverGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
IncreaseNodeGroupsInGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
IncreaseReplicaCount,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
ModifyCacheCluster,ID: requestParameters.CacheClusterId,ARN: responseElements.CacheCluster.ARN,
ModifyCacheParameterGroup,Name: requestParameters.CacheParameterGroupName,,
ModifyCacheSubnetGroup,Name: requestParameters.CacheSubnetGroupName,,
ModifyGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
ModifyReplicationGroup,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
ModifyReplicationGroupShardConfiguration,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
ModifyServerlessCache,,,
ModifyUser,ID: requestParameters.UserId,ARN: responseElements.ARN,
ModifyUserGroup,ID: requestParameters.UserGroupId,ARN: responseElements.ARN,
PurchaseReservedCacheNodesOffering,,ARN: responseElements.ReservedCacheNode.ReservationARN,
RebalanceSlotsInGlobalReplicationGroup,ID: requestParameters.GlobalReplicationGroupId,ARN: responseElements.GlobalReplicationGroup.ARN,
RebootCacheCluster,ID: requestParameters.CacheClusterId,ARN: responseElements.CacheCluster.ARN,
RemoveTagsFromResource,ARN: requestParameters.ResourceName,,
ResetCacheParameterGroup,Name: requestParameters.CacheParameterGroupName,,
RevokeCacheSecurityGroupIngress,Name: requestParameters.CacheSecurityGroupName,,This is for EC2 security group
StartMigration,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
TestFailover,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
TestMigration,ID: requestParameters.ReplicationGroupId,ARN: responseElements.ReplicationGroup.ARN,
