EVENT,REQUEST,RESPONSE
AddRoleToDBCluster,NAME: requestParameters.dBClusterIdentifier,
AddRoleToDBInstance,NAME: requestParameters.dBInstanceIdentifier,
AddSourceIdentifierToSubscription,"NAME: requestParameters.sourceIdentifier
NAME: requestParameters.subscriptionName",ARN: responseElements.eventSubscriptionArn
AddTagsToResource,NAME: requestParameters.resourceName,
ApplyPendingMaintenanceAction,ARN: requestParameters.resourceIdentifier,ARN: responseElements.resourcePendingMaintenanceActions.resourceIdentifier
AuthorizeDBSecurityGroupIngress,NAME: requestParameters.dBSecurityGroupName,"NAME: responseElements.dBSecurityGroupName
ARN: responseElements.dBSecurityGroupArn"
BacktrackDBCluster,NAME: requestParameters.dBClusterIdentifier,NAME: responseElements.dBClusterIdentifier
CancelExportTask,,ARN: responseElements.sourceArn
CopyDBClusterParameterGroup,"NAME/ARN: requestParameters.sourceDBClusterParameterGroupIdentifier
NAME: requestParameters.targetDBClusterParameterGroupIdentifier","NAME: responseElements.dBClusterParameterGroupName
ARN: responseElements.dBClusterParameterGroupArn"
CopyDBClusterSnapshot,"NAME: requestParameters.sourceDBClusterSnapshotIdentifier
NAME: requestParameters.targetDBClusterSnapshotIdentifier","NAME: responseElements.dBClusterSnapshotIdentifier
ARN: responseElements.dBClusterSnapshotArn"
CopyDBParameterGroup,"NAME/ARN: requestParameters.sourceDBParameterGroupIdentifier
NAME: requestParameters.targetDBParameterGroupIdentifier","NAME: responseElements.dBParameterGroupName
ARN: responseElements.dBParameterGroupArn"
CopyDBSnapshot,"ARN: requestParameters.sourceDBSnapshotIdentifier
NAME: requestParameters.targetDBSnapshotIdentifier","NAME: responseElements.dBSnapshotIdentifier
ARN: responseElements.dBSnapshotArn"
CopyOptionGroup,"NAME: requestParameters.sourceOptionGroupIdentifier
NAME: requestParameters.targetOptionGroupIdentifier","NAME: responseElements.optionGroupName
ARN: responseElements.optionGroupArn"
CreateBlueGreenDeployment,"NAME: requestParameters.blueGreenDeploymentName
NAME: requestParameters.source","NAME: responseElements.blueGreenDeploymentName
ID: responseElements.blueGreenDeploymentIdentifier"
CreateCustomDBEngineVersion,NAME: requestParameters.engine,"NAME: responseElements.engine
ARN: responseElements.dBEngineVersionArn"
CreateDBCluster,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.engine","NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
CreateDBClusterEndpoint,"NAME: requestParameters.dBClusterIdentifier
NAME: requestParameters.dBClusterEndpointIdentifier","NAME: responseElements.dBClusterEndpointIdentifier
ARN: responseElements.dBClusterEndpointArn
NAME: responseElements.dBClusterIdentifier"
CreateDBClusterParameterGroup,NAME: requestParameters.dBClusterParameterGroupName,"NAME: responseElements.dBClusterParameterGroupName
ARN: responseElements.dBClusterParameterGroupArn"
CreateDBClusterSnapshot,"NAME: requestParameters.dBClusterSnapshotIdentifier
NAME: requestParameters.dBClusterIdentifier","NAME: responseElements.dBClusterSnapshotIdentifier
ARN: responseElements.dBClusterSnapshotArn"
CreateDBInstance,NAME: requestParameters.dBInstanceIdentifier,"NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
CreateDBInstanceReadReplica,"NAME: requestParameters.sourceDBInstanceIdentifier
NAME: requestParameters.dBInstanceIdentifier","NAME: responseElements.dBInstanceIdentifier
ARN: responseElements.dBInstanceArn"
CreateDBParameterGroup,NAME: requestParameters.dBParameterGroupName,"NAME: responseElements.dBParameterGroupName
ARN: responseElements.dBParameterGroupArn"
CreateDBProxy,NAME: requestParameters.dBProxyName,"NAME: responseElements.dBProxy.dBProxyName
ARN: responseElements.dBProxy.dBProxyArn"
CreateDBProxyEndpoint,"NAME: requestParameters.dBProxyName
NAME: requestParameters.dbProxyEndpointName","NAME: responseElements.dBProxyEndpoint.dBProxyName
NAME: responseElements.dBProxyEndpoint.dbProxyEndpointName
ARN: responseElements.dBProxyEndpoint.dBProxyEndpointArn"
CreateDBSecurityGroup,NAME: requestParameters.dBSecurityGroupName,"NAME: responseElements.dbSecurityGroupName
ARN: responseElements.dbSecurityGroupArn"
CreateDBShardGroup,,
