EVENT,REQUEST,RESPONSE
AbortMultipartUpload,,
CompleteMultipartUpload,,
CopyObject,,
CreateBucket,NAME: requestParameters.bucketName,
CreateMultipartUpload,,
DeleteBucket,NAME: requestParameters.bucketName,
DeleteBucketAnalyticsConfiguration,NAME: requestParameters.bucketName,
DeleteBucketCors,NAME: requestParameters.bucketName,
DeleteBucketEncryption,NAME: requestParameters.bucketName,
DeleteBucketIntelligentTieringConfiguration,NAME: requestParameters.bucketName,
DeleteBucketInventoryConfiguration,NAME: requestParameters.bucketName,
DeleteBucketLifecycle,NAME: requestParameters.bucketName,
DeleteBucketMetricsConfiguration,NAME: requestParameters.bucketName,
DeleteBucketOwnershipControls,NAME: requestParameters.bucketName,
DeleteBucketPolicy,NAME: requestParameters.bucketName,
DeleteBucketReplication,NAME: requestParameters.bucketName,
DeleteBucketTagging,NAME: requestParameters.bucketName,
DeleteBucketWebsite,NAME: requestParameters.bucketName,
DeleteObject,,
DeleteObjects,,
DeleteObjectTagging,,
DeletePublicAccessBlock,NAME: requestParameters.bucketName,
PutBucketAccelerateConfiguration,NAME: requestParameters.bucketName,
PutBucketAcl,NAME: requestParameters.bucketName,
PutBucketAnalyticsConfiguration,NAME: requestParameters.bucketName,
PutBucketCors,NAME: requestParameters.bucketName,
PutBucketEncryption,NAME: requestParameters.bucketName,
PutBucketIntelligentTieringConfiguration,NAME: requestParameters.bucketName,
PutBucketInventoryConfiguration,NAME: requestParameters.bucketName,
PutBucketLifecycle,NAME: requestParameters.bucketName,
PutBucketLifecycleConfiguration,NAME: requestParameters.bucketName,
PutBucketLogging,NAME: requestParameters.bucketName,
PutBucketMetricsConfiguration,NAME: requestParameters.bucketName,
PutBucketNotification,NAME: requestParameters.bucketName,
PutBucketNotificationConfiguration,NAME: requestParameters.bucketName,
PutBucketOwnershipControls,NAME: requestParameters.bucketName,
PutBucketPolicy,NAME: requestParameters.bucketName,
PutBucketReplication,NAME: requestParameters.bucketName,
PutBucketRequestPayment,NAME: requestParameters.bucketName,
PutBucketTagging,NAME: requestParameters.bucketName,
PutBucketVersioning,NAME: requestParameters.bucketName,
PutBucketWebsite,NAME: requestParameters.bucketName,
PutObject,,
PutObjectAcl,,
PutObjectLegalHold,,
PutObjectLockConfiguration,NAME: requestParameters.bucketName,
PutObjectRetention,,
PutObjectTagging,,
PutPublicAccessBlock,NAME: requestParameters.bucketName,
RenameObject,,
RestoreObject,,
SelectObjectContent,,
UpdateBucketMetadataInventoryTableConfiguration,,
UpdateBucketMetadataJournalTableConfiguration,,
UploadPart,,
UploadPartCopy,,
WriteGetObjectResponse,,
