Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Compute,Availability Sets,Create or Update Availability Set,Microsoft.Compute/availabilitySets/write,Creates a new availability set or updates an existing one,"user,system",FALSE
Microsoft Compute,Availability Sets,Delete Availability Set,Microsoft.Compute/availabilitySets/delete,Deletes the availability set,"user,system",FALSE
Microsoft Compute,Availability Sets,Get Availablity Set,Microsoft.Compute/availabilitySets/read,Get the properties of an availability set,"user,system",FALSE
Microsoft Compute,Available Compute Operations,List Available Compute Operations,Microsoft.Compute/operations/read,Lists operations available on Microsoft.Compute resource provider,"user,system",FALSE
Microsoft Compute,Capacity Reservation Groups,Create or Update Capacity Reservation Group,Microsoft.Compute/capacityReservationGroups/write,Creates a new capacity reservation group or updates an existing capacity reservation group,"user,system",FALSE
Microsoft Compute,Capacity Reservation Groups,Delete Capacity Reservation Group,Microsoft.Compute/capacityReservationGroups/delete,Deletes the capacity reservation group,"user,system",FALSE
Microsoft Compute,Capacity Reservation Groups,Deploy a new VM/VMSS using Capacity Reservation Group,Microsoft.Compute/capacityReservationGroups/deploy/action,Deploy a new VM/VMSS using Capacity Reservation Group,"user,system",FALSE
Microsoft Compute,Capacity Reservation Groups,Get Capacity Reservation Group,Microsoft.Compute/capacityReservationGroups/read,Get the properties of a capacity reservation group,"user,system",FALSE
Microsoft Compute,Capacity Reservation Groups,Share the Capacity Reservation Group,Microsoft.Compute/capacityReservationGroups/share/action,Share the Capacity Reservation Group with one or more Subscriptionss,"user,system",FALSE
Microsoft Compute,Capacity Reservations,Create or Update Capacity Reservation,Microsoft.Compute/capacityReservationGroups/capacityReservations/write,Creates a new capacity reservation or updates an existing capacity reservation,"user,system",FALSE
Microsoft Compute,Capacity Reservations,Delete Capacity Reservation,Microsoft.Compute/capacityReservationGroups/capacityReservations/delete,Deletes the capacity reservation,"user,system",FALSE
Microsoft Compute,Capacity Reservations,Get Capacity Reservation,Microsoft.Compute/capacityReservationGroups/capacityReservations/read,Get the properties of a capacity reservation,"user,system",FALSE
Microsoft Compute,CapsOperation,Get Caps Operation,Microsoft.Compute/locations/capsOperations/read,Gets the status of an asynchronous Caps operation,"user,system",FALSE
Microsoft Compute,Cloud Service Instance View.,Gets the status of a CloudService.,Microsoft.Compute/cloudServices/instanceView/read,Gets the status of a CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Create or Update CloudService.,Microsoft.Compute/cloudServices/write,Created a new CloudService or Update an existing one.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Delete the CloudService.,Microsoft.Compute/cloudServices/delete,Deletes the CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Deletes role instances in a CloudService.,Microsoft.Compute/cloudServices/delete/action,Deletes role instances in a CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Get CloudService.,Microsoft.Compute/cloudServices/read,Get the properties of a CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Power off the CloudService.,Microsoft.Compute/cloudServices/poweroff/action,Power off the CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Rebuilds all the disks in the role instances in a CloudService.,Microsoft.Compute/cloudServices/rebuild/action,Reimage all the  role instances in a CloudService.,"user,system",FALSE
Microsoft Compute,Cloud Service Resource,Reimage one or more role instances in a CloudService.,Microsoft.Compute/cloudServices/reimage/action,Rebuilds all the disks in the role instances in a CloudService.,"user,system",FALSE
