Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Container Service,Admissionregistration.K8s.Io,Gets/List admissionregistration.k8s.io resource,Microsoft.ContainerService/managedClusters/apis/admissionregistration.k8s.io/read,Reads admissionregistration.k8s.io,"user,system",True
Microsoft Container Service,Admissionregistration.K8s.Io,Gets/List admissionregistration.k8s.io resource,Microsoft.ContainerService/fleets/apis/admissionregistration.k8s.io/read,Reads admissionregistration.k8s.io,"user,system",True
Microsoft Container Service,Admissionregistration.K8s.Io/V1,Gets/List admissionregistration.k8s.io/v1 resource,Microsoft.ContainerService/managedClusters/apis/admissionregistration.k8s.io/v1/read,Reads admissionregistration.k8s.io/v1,"user,system",True
Microsoft Container Service,Admissionregistration.K8s.Io/V1,Gets/List admissionregistration.k8s.io/v1 resource,Microsoft.ContainerService/fleets/apis/admissionregistration.k8s.io/v1/read,Reads admissionregistration.k8s.io/v1,"user,system",True
Microsoft Container Service,Admissionregistration.K8s.Io/V1beta1,Gets/List admissionregistration.k8s.io/v1beta1 resource,Microsoft.ContainerService/managedClusters/apis/admissionregistration.k8s.io/v1beta1/read,Reads admissionregistration.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Admissionregistration.K8s.Io/V1beta1,Gets/List admissionregistration.k8s.io/v1beta1 resource,Microsoft.ContainerService/fleets/apis/admissionregistration.k8s.io/v1beta1/read,Reads admissionregistration.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Agent Pools,Abort latest operation in agent pool,Microsoft.ContainerService/managedClusters/agentPools/abort/action,Latest ongoing operation on agent pool gets aborted,"user,system",False
Microsoft Container Service,Agent Pools,Create or Update Agent Pool,Microsoft.ContainerService/managedClusters/agentPools/write,Creates a new agent pool or updates an existing one,"user,system",False
Microsoft Container Service,Agent Pools,Delete Agent Pool,Microsoft.ContainerService/managedClusters/agentPools/delete,Deletes an agent pool,"user,system",False
Microsoft Container Service,Agent Pools,Get Agent Pool,Microsoft.ContainerService/managedClusters/agentPools/read,Gets an agent pool,"user,system",False
Microsoft Container Service,Agent Pools,Get Agent Pool UpgradeProfile,Microsoft.ContainerService/managedClusters/agentPools/upgradeProfiles/read,Gets the upgrade profile of the Agent Pool,"user,system",False
Microsoft Container Service,Agent Pools,Upgrade agent pool node image version,Microsoft.ContainerService/managedClusters/agentPools/upgradeNodeImageVersion/action,Upgrade the node image version of agent pool,"user,system",False
Microsoft Container Service,Agent Pools,Upgrade agent pool node image version,Microsoft.ContainerService/managedClusters/agentPools/upgradeNodeImageVersion/write,Upgrade the node image version of agent pool,"user,system",False
Microsoft Container Service,Api,Gets/List api resource,Microsoft.ContainerService/managedClusters/api/read,Reads api,"user,system",True
Microsoft Container Service,Api,Gets/List api resource,Microsoft.ContainerService/fleets/api/read,Reads api,"user,system",True
Microsoft Container Service,Api/V1,Gets/List api/v1 resource,Microsoft.ContainerService/managedClusters/api/v1/read,Reads api/v1,"user,system",True
Microsoft Container Service,Api/V1,Gets/List api/v1 resource,Microsoft.ContainerService/fleets/api/v1/read,Reads api/v1,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io,Gets/List apiextensions.k8s.io resource,Microsoft.ContainerService/managedClusters/apis/apiextensions.k8s.io/read,Reads apiextensions.k8s.io,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io,Gets/List apiextensions.k8s.io resource,Microsoft.ContainerService/fleets/apis/apiextensions.k8s.io/read,Reads apiextensions.k8s.io,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io/V1,Gets/List apiextensions.k8s.io/v1 resource,Microsoft.ContainerService/managedClusters/apis/apiextensions.k8s.io/v1/read,Reads apiextensions.k8s.io/v1,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io/V1,Gets/List apiextensions.k8s.io/v1 resource,Microsoft.ContainerService/fleets/apis/apiextensions.k8s.io/v1/read,Reads apiextensions.k8s.io/v1,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io/V1beta1,Gets/List apiextensions.k8s.io/v1beta1 resource,Microsoft.ContainerService/managedClusters/apis/apiextensions.k8s.io/v1beta1/read,Reads apiextensions.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Apiextensions.K8s.Io/V1beta1,Gets/List apiextensions.k8s.io/v1beta1 resource,Microsoft.ContainerService/fleets/apis/apiextensions.k8s.io/v1beta1/read,Reads apiextensions.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io,Gets/List apiregistration.k8s.io resource,Microsoft.ContainerService/managedClusters/apis/apiregistration.k8s.io/read,Reads apiregistration.k8s.io,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io,Gets/List apiregistration.k8s.io resource,Microsoft.ContainerService/fleets/apis/apiregistration.k8s.io/read,Reads apiregistration.k8s.io,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io/V1,Gets/List apiregistration.k8s.io/v1 resource,Microsoft.ContainerService/managedClusters/apis/apiregistration.k8s.io/v1/read,Reads apiregistration.k8s.io/v1,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io/V1,Gets/List apiregistration.k8s.io/v1 resource,Microsoft.ContainerService/fleets/apis/apiregistration.k8s.io/v1/read,Reads apiregistration.k8s.io/v1,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io/V1beta1,Gets/List apiregistration.k8s.io/v1beta1 resource,Microsoft.ContainerService/managedClusters/apis/apiregistration.k8s.io/v1beta1/read,Reads apiregistration.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Apiregistration.K8s.Io/V1beta1,Gets/List apiregistration.k8s.io/v1beta1 resource,Microsoft.ContainerService/fleets/apis/apiregistration.k8s.io/v1beta1/read,Reads apiregistration.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Apis,Gets/List apis resource,Microsoft.ContainerService/managedClusters/apis/read,Reads apis,"user,system",True
Microsoft Container Service,Apis,Gets/List apis resource,Microsoft.ContainerService/fleets/apis/read,Reads apis,"user,system",True
Microsoft Container Service,Apiservices,Creates/Updates apiservices resource,Microsoft.ContainerService/managedClusters/apiregistration.k8s.io/apiservices/write,Writes apiservices,"user,system",True
Microsoft Container Service,Apiservices,Creates/Updates apiservices resource,Microsoft.ContainerService/fleets/apiregistration.k8s.io/apiservices/write,Writes apiservices,"user,system",True
Microsoft Container Service,Apiservices,Deletes/DeletesCollection apiservices resource,Microsoft.ContainerService/managedClusters/apiregistration.k8s.io/apiservices/delete,Deletes apiservices,"user,system",True
Microsoft Container Service,Apiservices,Deletes/DeletesCollection apiservices resource,Microsoft.ContainerService/fleets/apiregistration.k8s.io/apiservices/delete,Deletes apiservices,"user,system",True
Microsoft Container Service,Apiservices,Gets/List apiservices resource,Microsoft.ContainerService/managedClusters/apiregistration.k8s.io/apiservices/read,Reads apiservices,"user,system",True
Microsoft Container Service,Apiservices,Gets/List apiservices resource,Microsoft.ContainerService/fleets/apiregistration.k8s.io/apiservices/read,Reads apiservices,"user,system",True
Microsoft Container Service,Approve Private Endpoint Connections,Approve Private Endpoint Connections,Microsoft.ContainerService/managedClusters/privateEndpointConnectionsApproval/action,Determines if user is allowed to approve a private endpoint connection,"user,system",False
Microsoft Container Service,Apps,Gets/List apps resource,Microsoft.ContainerService/managedClusters/apis/apps/read,Reads apps,"user,system",True
Microsoft Container Service,Apps,Gets/List apps resource,Microsoft.ContainerService/fleets/apis/apps/read,Reads apps,"user,system",True
Microsoft Container Service,Apps/V1,Gets/List apps/v1 resource,Microsoft.ContainerService/managedClusters/apis/apps/v1/read,Reads apps/v1,"user,system",True
Microsoft Container Service,Apps/V1,Gets/List apps/v1 resource,Microsoft.ContainerService/fleets/apis/apps/v1/read,Reads apps/v1,"user,system",True
Microsoft Container Service,Apps/V1beta1,Gets/List apps/v1beta1 resource,Microsoft.ContainerService/managedClusters/apis/apps/v1beta1/read,Reads apps/v1beta1,"user,system",True
Microsoft Container Service,Apps/V1beta1,Gets/List apps/v1beta1 resource,Microsoft.ContainerService/fleets/apis/apps/v1beta1/read,Reads apps/v1beta1,"user,system",True
Microsoft Container Service,Apps/V1beta2,Gets/List apps/v1beta2 resource,Microsoft.ContainerService/managedClusters/apis/apps/v1beta2/read,Reads apps/v1beta2,"user,system",True
Microsoft Container Service,Apps/V1beta2,Gets/List apps/v1beta2 resource,Microsoft.ContainerService/fleets/apis/apps/v1beta2/read,Reads apps/v1beta2,"user,system",True
Microsoft Container Service,Authentication.K8s.Io,Gets/List authentication.k8s.io resource,Microsoft.ContainerService/managedClusters/apis/authentication.k8s.io/read,Reads authentication.k8s.io,"user,system",True
Microsoft Container Service,Authentication.K8s.Io,Gets/List authentication.k8s.io resource,Microsoft.ContainerService/fleets/apis/authentication.k8s.io/read,Reads authentication.k8s.io,"user,system",True
Microsoft Container Service,Authentication.K8s.Io/V1,Gets/List authentication.k8s.io/v1 resource,Microsoft.ContainerService/managedClusters/apis/authentication.k8s.io/v1/read,Reads authentication.k8s.io/v1,"user,system",True
Microsoft Container Service,Authentication.K8s.Io/V1,Gets/List authentication.k8s.io/v1 resource,Microsoft.ContainerService/fleets/apis/authentication.k8s.io/v1/read,Reads authentication.k8s.io/v1,"user,system",True
Microsoft Container Service,Authentication.K8s.Io/V1beta1,Gets/List authentication.k8s.io/v1beta1 resource,Microsoft.ContainerService/managedClusters/apis/authentication.k8s.io/v1beta1/read,Reads authentication.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Authentication.K8s.Io/V1beta1,Gets/List authentication.k8s.io/v1beta1 resource,Microsoft.ContainerService/fleets/apis/authentication.k8s.io/v1beta1/read,Reads authentication.k8s.io/v1beta1,"user,system",True
Microsoft Container Service,Authorization.K8s.Io,Gets/List authorization.k8s.io resource,Microsoft.ContainerService/managedClusters/apis/authorization.k8s.io/read,Reads authorization.k8s.io,"user,system",True
Microsoft Container Service,Authorization.K8s.Io,Gets/List authorization.k8s.io resource,Microsoft.ContainerService/fleets/apis/authorization.k8s.io/read,Reads authorization.k8s.io,"user,system",True
Microsoft Container Service,Authorization.K8s.Io/V1,Gets/List authorization.k8s.io/v1 resource,Microsoft.ContainerService/managedClusters/apis/authorization.k8s.io/v1/read,Reads authorization.k8s.io/v1,"user,system",True
