Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft API Management,,Read the status of a long running operation,Microsoft.ApiManagement/locations/operationsStatuses/read,View the status of a long running operation for which the 'AzureAsync' header was previously returned to the client,,False
Microsoft API Management,API Management Event Grid Filters,Delete Event Grid Filters,Microsoft.ApiManagement/service/eventGridFilters/delete,Delete Event Grid Filters,,False
Microsoft API Management,API Management Event Grid Filters,Get Event Grid Filter,Microsoft.ApiManagement/service/eventGridFilters/read,Get Event Grid Filter,,False
Microsoft API Management,API Management Event Grid Filters,Set Event Grid Filters,Microsoft.ApiManagement/service/eventGridFilters/write,Set Event Grid Filters,,False
Microsoft API Management,API Management Operations,Read all API operations available for API Management,Microsoft.ApiManagement/operations/read,Read all API operations available for Microsoft.ApiManagement resource,,False
Microsoft API Management,API Management Private Endpoint Connection Proxy,Api Management private endpoint operation results (read),Microsoft.ApiManagement/service/privateEndpointConnectionProxies/operationresults/read,View the result of private endpoint connection operations in the management portal,,False
Microsoft API Management,API Management Private Endpoint Connection Proxy,Create private endpoint connection proxy,Microsoft.ApiManagement/service/privateEndpointConnectionProxies/write,Create the private endpoint connection proxy,,False
Microsoft API Management,API Management Private Endpoint Connection Proxy,Delete private endpoint connection proxy,Microsoft.ApiManagement/service/privateEndpointConnectionProxies/delete,Delete the private endpoint connection proxy,,False
Microsoft API Management,API Management Private Endpoint Connection Proxy,Get Private Endpoint Connection Proxy,Microsoft.ApiManagement/service/privateEndpointConnectionProxies/read,Get Private Endpoint Connection Proxy,,False
Microsoft API Management,API Management Private Endpoint Connection Proxy,Validate private endpoint connection proxy,Microsoft.ApiManagement/service/privateEndpointConnectionProxies/validate/action,Validate the private endpoint connection proxy,,False
Microsoft API Management,API Management Private Endpoint Connections,Approve Or Reject Private Endpoint Connections by Name,Microsoft.ApiManagement/service/privateEndpointConnections/write,Approve Or Reject Private Endpoint Connections,,False
Microsoft API Management,API Management Private Endpoint Connections,Delete Private Endpoint Connections by Name,Microsoft.ApiManagement/service/privateEndpointConnections/delete,Delete Private Endpoint Connections,,False
Microsoft API Management,API Management Private Endpoint Connections,Get Private Endpoint Connections by Name,Microsoft.ApiManagement/service/privateEndpointConnections/read,Get Private Endpoint Connections,,False
Microsoft API Management,API Management Private Link Group Resource,Get Private Link Group Resources,Microsoft.ApiManagement/service/privateLinkResources/read,Get Private Link Group resources,,False
Microsoft API Management,API Management reports,Get reports,Microsoft.ApiManagement/reports/read,"Get reports aggregated by time periods, geographical region, developers, products, APIs, operations, subscription and byRequest.",,False
Microsoft API Management,API Operation policies configuration,Create API Operation policy,Microsoft.ApiManagement/service/apis/operations/policy/write,Create policy configuration at Operation level,,False
Microsoft API Management,API Operation policies configuration,Delete API Operation policy configuration,Microsoft.ApiManagement/service/apis/operations/policy/delete,Delete the policy configuration at Operation level,,False
Microsoft API Management,API Operation policies configuration,Get API Operation policies or Get API operation policy configuration,Microsoft.ApiManagement/service/apis/operations/policies/read,Get the list of policy configuration at the API Operation level. or Get the policy configuration at the API Operation level.,,False
Microsoft API Management,API Operation policies configuration,Get API Operation policies or Get API operation policy configuration,Microsoft.ApiManagement/service/workspaces/apis/operations/policies/read,Get the list of policy configuration at the API Operation level. or Get the policy configuration at the API Operation level.,,False
Microsoft API Management,API Operation policies configuration,Get API Operation policies or Get API operation policy configuration,Microsoft.ApiManagement/service/tenants/apis/operations/policies/read,Get the list of policy configuration at the API Operation level. or Get the policy configuration at the API Operation level.,,False
Microsoft API Management,API Operation policies configuration,Get API Operation policy configuration,Microsoft.ApiManagement/service/apis/operations/policy/read,Get the policy configuration at Operation level,,False
Microsoft API Management,API Operation policies configuration,Remove API Operation policy configuration from policies,Microsoft.ApiManagement/service/apis/operations/policies/delete,Deletes the policy configuration at the Api Operation.,,False
Microsoft API Management,API Operation policies configuration,Remove API Operation policy configuration from policies,Microsoft.ApiManagement/service/workspaces/apis/operations/policies/delete,Deletes the policy configuration at the Api Operation.,,False
Microsoft API Management,API Operation policies configuration,Remove API Operation policy configuration from policies,Microsoft.ApiManagement/service/tenants/apis/operations/policies/delete,Deletes the policy configuration at the Api Operation.,,False
Microsoft API Management,API Operation policies configuration,Set API operation policy configuration,Microsoft.ApiManagement/service/apis/operations/policies/write,Creates or updates policy configuration for the API Operation level.,,False
Microsoft API Management,API Operation policies configuration,Set API operation policy configuration,Microsoft.ApiManagement/service/workspaces/apis/operations/policies/write,Creates or updates policy configuration for the API Operation level.,,False
Microsoft API Management,API Operation policies configuration,Set API operation policy configuration,Microsoft.ApiManagement/service/tenants/apis/operations/policies/write,Creates or updates policy configuration for the API Operation level.,,False
Microsoft API Management,API associated products,Get products associated with the API,Microsoft.ApiManagement/service/apis/products/read,"Lists all Products, which the API is part of.",,False
Microsoft API Management,API associated products,Get products associated with the API,Microsoft.ApiManagement/service/workspaces/apis/products/read,"Lists all Products, which the API is part of.",,False
Microsoft API Management,API associated products,Get products associated with the API,Microsoft.ApiManagement/service/tenants/apis/products/read,"Lists all Products, which the API is part of.",,False
Microsoft API Management,API diagnostics,Add diagnostic or Update diagnostic,Microsoft.ApiManagement/service/apis/diagnostics/write,Creates a new Diagnostic for an API or updates an existing one. or Updates the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Add diagnostic or Update diagnostic,Microsoft.ApiManagement/service/workspaces/apis/diagnostics/write,Creates a new Diagnostic for an API or updates an existing one. or Updates the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Add diagnostic or Update diagnostic,Microsoft.ApiManagement/service/workspaces/diagnostics/write,Creates a new Diagnostic for a workspace or updates an existing one. or Updates the details of the Diagnostic for a workspace specified by its identifier.,,False
Microsoft API Management,API diagnostics,Add diagnostic or Update diagnostic,Microsoft.ApiManagement/service/tenants/apis/diagnostics/write,Creates a new Diagnostic for an API or updates an existing one. or Updates the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Get diagnostics list or Get diagnostic details,Microsoft.ApiManagement/service/apis/diagnostics/read,Lists all diagnostics of an API. or Gets the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Get diagnostics list or Get diagnostic details,Microsoft.ApiManagement/service/workspaces/apis/diagnostics/read,Lists all diagnostics of an API. or Gets the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Get diagnostics list or Get diagnostic details,Microsoft.ApiManagement/service/workspaces/diagnostics/read,Lists all diagnostics of a workspace. or Gets the details of the Diagnostic for a workspace specified by its identifier.,,False
Microsoft API Management,API diagnostics,Get diagnostics list or Get diagnostic details,Microsoft.ApiManagement/service/tenants/apis/diagnostics/read,Lists all diagnostics of an API. or Gets the details of the Diagnostic for an API specified by its identifier.,,False
Microsoft API Management,API diagnostics,Remove diagnostic,Microsoft.ApiManagement/service/apis/diagnostics/delete,Deletes the specified Diagnostic from an API.,,False
Microsoft API Management,API diagnostics,Remove diagnostic,Microsoft.ApiManagement/service/workspaces/apis/diagnostics/delete,Deletes the specified Diagnostic from an API.,,False
Microsoft API Management,API diagnostics,Remove diagnostic,Microsoft.ApiManagement/service/workspaces/diagnostics/delete,Deletes the specified Diagnostic from a workspace.,,False
Microsoft API Management,API diagnostics,Remove diagnostic,Microsoft.ApiManagement/service/tenants/apis/diagnostics/delete,Deletes the specified Diagnostic from an API.,,False
Microsoft API Management,API operations,Create API operation or Update API operation,Microsoft.ApiManagement/service/apis/operations/write,Creates a new operation in the API or updates an existing one. or Updates the details of the operation in the API specified by its identifier.,,False
Microsoft API Management,API operations,Create API operation or Update API operation,Microsoft.ApiManagement/service/workspaces/apis/operations/write,Creates a new operation in the API or updates an existing one. or Updates the details of the operation in the API specified by its identifier.,,False
Microsoft API Management,API operations,Create API operation or Update API operation,Microsoft.ApiManagement/service/tenants/apis/operations/write,Creates a new operation in the API or updates an existing one. or Updates the details of the operation in the API specified by its identifier.,,False
Microsoft API Management,API operations,Get API operations or Get API operation details,Microsoft.ApiManagement/service/apis/operations/read,Lists a collection of the operations for the specified API. or Gets the details of the API Operation specified by its identifier.,,False
Microsoft API Management,API operations,Get API operations or Get API operation details,Microsoft.ApiManagement/service/workspaces/apis/operations/read,Lists a collection of the operations for the specified API. or Gets the details of the API Operation specified by its identifier.,,False
Microsoft API Management,API operations,Get API operations or Get API operation details,Microsoft.ApiManagement/service/tenants/apis/operations/read,Lists a collection of the operations for the specified API. or Gets the details of the API Operation specified by its identifier.,,False
Microsoft API Management,API operations,Remove API operation,Microsoft.ApiManagement/service/apis/operations/delete,Deletes the specified operation in the API.,,False
Microsoft API Management,API operations,Remove API operation,Microsoft.ApiManagement/service/workspaces/apis/operations/delete,Deletes the specified operation in the API.,,False
Microsoft API Management,API operations,Remove API operation,Microsoft.ApiManagement/service/tenants/apis/operations/delete,Deletes the specified operation in the API.,,False
Microsoft API Management,API policies configuration,Create API policy,Microsoft.ApiManagement/service/apis/policy/write,Create policy configuration at API level,,False
Microsoft API Management,API policies configuration,Delete API policy configuration,Microsoft.ApiManagement/service/apis/policy/delete,Delete the policy configuration at API level,,False
Microsoft API Management,API policies configuration,Get API policies or Get API policy configuration,Microsoft.ApiManagement/service/apis/policies/read,Get the policy configuration at the API level. or Get the policy configuration at the API level.,,False
Microsoft API Management,API policies configuration,Get API policies or Get API policy configuration,Microsoft.ApiManagement/service/workspaces/apis/policies/read,Get the policy configuration at the API level. or Get the policy configuration at the API level.,,False
Microsoft API Management,API policies configuration,Get API policies or Get API policy configuration,Microsoft.ApiManagement/service/tenants/apis/policies/read,Get the policy configuration at the API level. or Get the policy configuration at the API level.,,False
Microsoft API Management,API policies configuration,Get API policy configuration,Microsoft.ApiManagement/service/apis/policy/read,Get the policy configuration at API level,,False
Microsoft API Management,API policies configuration,Remove API policy configuration from policies,Microsoft.ApiManagement/service/apis/policies/delete,Deletes the policy configuration at the Api.,,False
Microsoft API Management,API policies configuration,Remove API policy configuration from policies,Microsoft.ApiManagement/service/workspaces/apis/policies/delete,Deletes the policy configuration at the Api.,,False
Microsoft API Management,API policies configuration,Remove API policy configuration from policies,Microsoft.ApiManagement/service/tenants/apis/policies/delete,Deletes the policy configuration at the Api.,,False
Microsoft API Management,API policies configuration,Set API policy configuration,Microsoft.ApiManagement/service/apis/policies/write,Creates or updates policy configuration for the API.,,False
Microsoft API Management,API policies configuration,Set API policy configuration,Microsoft.ApiManagement/service/workspaces/apis/policies/write,Creates or updates policy configuration for the API.,,False
Microsoft API Management,API policies configuration,Set API policy configuration,Microsoft.ApiManagement/service/tenants/apis/policies/write,Creates or updates policy configuration for the API.,,False
Microsoft API Management,API releases,Create API release or Update API release,Microsoft.ApiManagement/service/apis/releases/write,Creates a new Release for the API. or Updates the details of the release of the API specified by its identifier.,,False
Microsoft API Management,API releases,Create API release or Update API release,Microsoft.ApiManagement/service/tenants/apis/releases/write,Creates a new Release for the API. or Updates the details of the release of the API specified by its identifier.,,False
Microsoft API Management,API releases,Get revisions for an API or Get API release details,Microsoft.ApiManagement/service/apis/releases/read,Lists all releases of an API. An API release is created when making an API Revision current. Releases are also used to rollback to previous revisions. Results will be paged and can be constrained by the $top and $skip parameters. or Returns the details of an API release.,,False
Microsoft API Management,API releases,Get revisions for an API or Get API release details,Microsoft.ApiManagement/service/tenants/apis/releases/read,Lists all releases of an API. An API release is created when making an API Revision current. Releases are also used to rollback to previous revisions. Results will be paged and can be constrained by the $top and $skip parameters. or Returns the details of an API release.,,False
Microsoft API Management,API releases,Removes all releases of the API or Delete API release,Microsoft.ApiManagement/service/apis/releases/delete,Removes all releases of the API or Deletes the specified release in the API.,,False
Microsoft API Management,API releases,Removes all releases of the API or Delete API release,Microsoft.ApiManagement/service/tenants/apis/releases/delete,Removes all releases of the API or Deletes the specified release in the API.,,False
Microsoft API Management,API revisions,Delete revisions of an API,Microsoft.ApiManagement/service/apis/revisions/delete,Removes all revisions of an API,,False
Microsoft API Management,API revisions,Delete revisions of an API,Microsoft.ApiManagement/service/tenants/apis/revisions/delete,Removes all revisions of an API,,False
Microsoft API Management,API revisions,Get revisions for an API,Microsoft.ApiManagement/service/apis/revisions/read,Lists all revisions of an API.,,False
Microsoft API Management,API revisions,Get revisions for an API,Microsoft.ApiManagement/service/workspaces/apis/revisions/read,Lists all revisions of an API.,,False
Microsoft API Management,API revisions,Get revisions for an API,Microsoft.ApiManagement/service/tenants/apis/revisions/read,Lists all revisions of an API.,,False
Microsoft API Management,API/Tag associations,Add Tag,Microsoft.ApiManagement/service/apis/tags/write,Assign tag to the Api.,,False
Microsoft API Management,API/Tag associations,Add Tag,Microsoft.ApiManagement/service/workspaces/apis/tags/write,Assign tag to the Api.,,False
Microsoft API Management,API/Tag associations,Add Tag,Microsoft.ApiManagement/service/tenants/apis/tags/write,Assign tag to the Api.,,False
Microsoft API Management,API/Tag associations,Get tags associated with the API or Get Tag associated with API,Microsoft.ApiManagement/service/apis/tags/read,Lists all Tags associated with the API. or Get tag associated with the API.,,False
Microsoft API Management,API/Tag associations,Get tags associated with the API or Get Tag associated with API,Microsoft.ApiManagement/service/workspaces/apis/tags/read,Lists all Tags associated with the API. or Get tag associated with the API.,,False
Microsoft API Management,API/Tag associations,Get tags associated with the API or Get Tag associated with API,Microsoft.ApiManagement/service/tenants/apis/tags/read,Lists all Tags associated with the API. or Get tag associated with the API.,,False
Microsoft API Management,API/Tag associations,Remove Tag,Microsoft.ApiManagement/service/apis/tags/delete,Detach the tag from the Api.,,False
Microsoft API Management,API/Tag associations,Remove Tag,Microsoft.ApiManagement/service/workspaces/apis/tags/delete,Detach the tag from the Api.,,False
Microsoft API Management,API/Tag associations,Remove Tag,Microsoft.ApiManagement/service/tenants/apis/tags/delete,Detach the tag from the Api.,,False
Microsoft API Management,APIs,Create API or Update API,Microsoft.ApiManagement/service/apis/write,Creates new or updates existing specified API of the API Management service instance. or Updates the specified API of the API Management service instance.,,False
Microsoft API Management,APIs,Get API list or Get API details,Microsoft.ApiManagement/service/apis/read,Lists all APIs of the API Management service instance. or Gets the details of the API specified by its identifier.,,False
Microsoft API Management,APIs,Remove API,Microsoft.ApiManagement/service/apis/delete,Deletes the specified API of the API Management service instance.,,False
Microsoft API Management,APIs added to Gateway,Add API to Gateway,Microsoft.ApiManagement/service/gateways/apis/write,Adds an API to the specified Gateway.,,False
Microsoft API Management,APIs added to Gateway,Get Gateway APIs list,Microsoft.ApiManagement/service/gateways/apis/read,Lists a collection of the APIs associated with a gateway.,,False
Microsoft API Management,APIs added to Gateway,Remove API from Gateway,Microsoft.ApiManagement/service/gateways/apis/delete,Deletes the specified API from the specified Gateway.,,False
Microsoft API Management,APIs added to product,Add API to product,Microsoft.ApiManagement/service/products/apis/write,Adds an API to the specified product.,,False
Microsoft API Management,APIs added to product,Add API to product,Microsoft.ApiManagement/service/workspaces/products/apis/write,Adds an API to the specified product.,,False
Microsoft API Management,APIs added to product,Get product APIs list,Microsoft.ApiManagement/service/products/apis/read,Lists a collection of the APIs associated with a product.,,False
Microsoft API Management,APIs added to product,Get product APIs list,Microsoft.ApiManagement/service/workspaces/products/apis/read,Lists a collection of the APIs associated with a product.,,False
