Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Web Apps,,Validate ,microsoft.web/validate/action,Validate .,"user,system",False
Microsoft Web Apps,,Verify Hosting Environment Vnet,microsoft.web/verifyhostingenvironmentvnet/action,Verify Hosting Environment Vnet.,"user,system",False
Microsoft Web Apps,API Connections,Dynamic Invoke Connection.,microsoft.web/connections/dynamicInvoke/action,Dynamic Invoke a Connection.,"user,system",False
Microsoft Web Apps,API Connections,List API Connections Keys,microsoft.web/connections/listConnectionKeys/action,Lists API Connections Keys.,"user,system",False
Microsoft Web Apps,API Connections,Revokes API Connections Keys,microsoft.web/connections/revokeConnectionKeys/action,Revokes API Connections Keys.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs,Delete Api Management Accounts APIs,microsoft.web/apimanagementaccounts/apis/delete,Delete Api Management Accounts APIs.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs,Get Api Management Accounts APIs,microsoft.web/apimanagementaccounts/apis/read,Get Api Management Accounts APIs.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs,Update Api Management Accounts APIs,microsoft.web/apimanagementaccounts/apis/write,Update Api Management Accounts APIs.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Apiacls,Delete Api Management Accounts APIs Apiacls,microsoft.web/apimanagementaccounts/apis/apiacls/delete,Delete Api Management Accounts APIs Apiacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Apiacls,Get Api Management Accounts APIs Apiacls,microsoft.web/apimanagementaccounts/apis/apiacls/read,Get Api Management Accounts APIs Apiacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Apiacls,Update Api Management Accounts APIs Apiacls,microsoft.web/apimanagementaccounts/apis/apiacls/write,Update Api Management Accounts APIs Apiacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connectionacls,Get Api Management Accounts APIs Connectionacls,microsoft.web/apimanagementaccounts/apis/connectionacls/read,Get Api Management Accounts APIs Connectionacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,Confirm Consent Code Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/confirmconsentcode/action,Confirm Consent Code Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,Delete Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/delete,Delete Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,Get Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/read,Get Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,Get Consent Links for Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/getconsentlinks/action,Get Consent Links for Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,List Connection Keys Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/listconnectionkeys/action,List Connection Keys Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,List Secrets Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/listsecrets/action,List Secrets Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections,Update Api Management Accounts APIs Connections,microsoft.web/apimanagementaccounts/apis/connections/write,Update Api Management Accounts APIs Connections.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections Connectionacls,Delete Api Management Accounts APIs Connections Connectionacls,microsoft.web/apimanagementaccounts/apis/connections/connectionacls/delete,Delete Api Management Accounts APIs Connections Connectionacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections Connectionacls,Get Api Management Accounts APIs Connections Connectionacls,microsoft.web/apimanagementaccounts/apis/connections/connectionacls/read,Get Api Management Accounts APIs Connections Connectionacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Connections Connectionacls,Update Api Management Accounts APIs Connections Connectionacls,microsoft.web/apimanagementaccounts/apis/connections/connectionacls/write,Update Api Management Accounts APIs Connections Connectionacls.,"user,system",False
Microsoft Web Apps,Api Management Accounts APIs Localized Definitions,Delete Api Management Accounts APIs Localized Definitions,microsoft.web/apimanagementaccounts/apis/localizeddefinitions/delete,Delete Api Management Accounts APIs Localized Definitions.,"user,system",False
