Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Authorization,Acquire policy token,Acquire policy token operation,Microsoft.Authorization/acquirePolicyToken/read,Acquire a policy token at the specified scope.,,False
Microsoft Authorization,Classic subscription administrator,Delete administrator,Microsoft.Authorization/classicAdministrators/delete,Removes the administrator from the subscription.,,False
Microsoft Authorization,Classic subscription administrator,Get administrator,Microsoft.Authorization/classicAdministrators/read,Reads the administrators for the subscription.,,False
Microsoft Authorization,Classic subscription administrator,Set administrator,Microsoft.Authorization/classicAdministrators/write,Add or modify administrator to a subscription.,,False
Microsoft Authorization,Classic subscription administrator operation statuses,Get administrator operation statuses,Microsoft.Authorization/classicAdministrators/operationstatuses/read,Gets the administrator opreation statuses of the subscription.,,False
Microsoft Authorization,Deny assignment,Create deny assignment,Microsoft.Authorization/denyAssignments/write,Create a deny assignment at the specified scope.,,False
Microsoft Authorization,Deny assignment,Delete deny assignment,Microsoft.Authorization/denyAssignments/delete,Delete a deny assignment at the specified scope.,,False
Microsoft Authorization,Deny assignment,Get deny assignment,Microsoft.Authorization/denyAssignments/read,Get information about a deny assignment.,,False
Microsoft Authorization,Diagnostic settings categories,Read the information about diagnostic settings categories,Microsoft.Authorization/diagnosticSettingsCategories/read,Get the information about diagnostic settings categories,,False
Microsoft Authorization,Diagnostics settings,Delete a diagnostics setting,Microsoft.Authorization/diagnosticSettings/delete,Delete diagnostics settings,,False
Microsoft Authorization,Diagnostics settings,Get information about diagnostics settings,Microsoft.Authorization/diagnosticSettings/read,Read the information about diagnostics settings,,False
Microsoft Authorization,Diagnostics settings,Write to diagnostics settings,Microsoft.Authorization/diagnosticSettings/write,Create or update the information of diagnostics settings,,False
Microsoft Authorization,Get Role eligibility schedule instance,Get Role eligibility schedule instance,Microsoft.Authorization/roleEligibilityScheduleInstances/read,Gets the role eligibility schedule instances at given scope.,,False
Microsoft Authorization,Management lock,Add management locks,Microsoft.Authorization/locks/write,Add locks at the specified scope.,,False
Microsoft Authorization,Management lock,Delete management locks,Microsoft.Authorization/locks/delete,Delete locks at the specified scope.,,False
Microsoft Authorization,Management lock,Get management locks,Microsoft.Authorization/locks/read,Gets locks at the specified scope.,,False
Microsoft Authorization,Microsoft Authorization,Assigns the caller to User Access Administrator role,Microsoft.Authorization/elevateAccess/action,Grants the caller User Access Administrator access at the tenant scope,,False
Microsoft Authorization,Operations,Get operations,Microsoft.Authorization/operations/read,Gets the list of operations,,False
Microsoft Authorization,Permission,List permissions,Microsoft.Authorization/permissions/read,Lists all the permissions the caller has at a given scope.,,False
Microsoft Authorization,Policy assignment,Create policy assignment,Microsoft.Authorization/policyAssignments/write,Create a policy assignment at the specified scope.,,False
Microsoft Authorization,Policy assignment,Delete policy assignment,Microsoft.Authorization/policyAssignments/delete,Delete a policy assignment at the specified scope.,,False
Microsoft Authorization,Policy assignment,Exempt policy assignment,Microsoft.Authorization/policyAssignments/exempt/action,Exempt a policy assignment at the specified scope.,,False
Microsoft Authorization,Policy assignment,Get policy assignment,Microsoft.Authorization/policyAssignments/read,Get information about a policy assignment.,,False
Microsoft Authorization,Policy definition,Create policy definition,Microsoft.Authorization/policyDefinitions/write,Create a custom policy definition.,,False
Microsoft Authorization,Policy definition,Delete policy definition,Microsoft.Authorization/policyDefinitions/delete,Delete a policy definition.,,False
Microsoft Authorization,Policy definition,Get policy definition,Microsoft.Authorization/policyDefinitions/read,Get information about a policy definition.,,False
Microsoft Authorization,Policy definition version,Create policy definition version,Microsoft.Authorization/policyDefinitions/versions/write,Create a custom policy definition version.,,False
Microsoft Authorization,Policy definition version,Delete policy definition version,Microsoft.Authorization/policyDefinitions/versions/delete,Delete a policy definition version.,,False
Microsoft Authorization,Policy definition version,Get policy definition version,Microsoft.Authorization/policyDefinitions/versions/read,Get information about a policy definition version.,,False
Microsoft Authorization,Policy enrollment,Create policy enrollment,Microsoft.Authorization/policyEnrollments/write,Create a policy enrollment at the specified scope.,,False
Microsoft Authorization,Policy enrollment,Delete policy enrollment,Microsoft.Authorization/policyEnrollments/delete,Delete a policy enrollment at the specified scope.,,False
Microsoft Authorization,Policy enrollment,Get policy enrollment,Microsoft.Authorization/policyEnrollments/read,Get information about a policy enrollment.,,False
Microsoft Authorization,Policy evaluation,audit' Policy action.,Microsoft.Authorization/policies/audit/action,Action taken as a result of evaluation of Azure Policy with 'audit' effect,System,False
Microsoft Authorization,Policy evaluation,auditIfNotExists' Policy action.,Microsoft.Authorization/policies/auditIfNotExists/action,Action taken as a result of evaluation of Azure Policy with 'auditIfNotExists' effect,System,False
Microsoft Authorization,Policy evaluation,deny' Policy action.,Microsoft.Authorization/policies/deny/action,Action taken as a result of evaluation of Azure Policy with 'deny' effect,System,False
Microsoft Authorization,Policy evaluation,deployIfNotExists' Policy action.,Microsoft.Authorization/policies/deployIfNotExists/action,Action taken as a result of evaluation of Azure Policy with 'deployIfNotExists' effect,System,False
Microsoft Authorization,Policy exemption,Create policy exemption,Microsoft.Authorization/policyExemptions/write,Create a policy exemption at the specified scope.,,False
Microsoft Authorization,Policy exemption,Delete policy exemption,Microsoft.Authorization/policyExemptions/delete,Delete a policy exemption at the specified scope.,,False
Microsoft Authorization,Policy exemption,Get policy exemption,Microsoft.Authorization/policyExemptions/read,Get information about a policy exemption.,,False
Microsoft Authorization,Policy set definition,Create policy set definition,Microsoft.Authorization/policySetDefinitions/write,Create a custom policy set definition.,,False
Microsoft Authorization,Policy set definition,Delete policy set definition,Microsoft.Authorization/policySetDefinitions/delete,Delete a policy set definition.,,False
Microsoft Authorization,Policy set definition,Get policy set definition,Microsoft.Authorization/policySetDefinitions/read,Get information about a policy set definition.,,False
Microsoft Authorization,Policy set definition version,Create policy set definition version,Microsoft.Authorization/policySetDefinitions/versions/write,Create a custom policy set definition version.,,False
Microsoft Authorization,Policy set definition version,Delete policy set definition version,Microsoft.Authorization/policySetDefinitions/versions/delete,Delete a policy set definition version.,,False
Microsoft Authorization,Policy set definition version,Get policy set definition version,Microsoft.Authorization/policySetDefinitions/versions/read,Get information about a policy set definition version.,,False
