Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft.Cdn,AfdCustomDomain,RefreshValidationToken,Microsoft.Cdn/profiles/customdomains/RefreshValidationToken/action,,,False
Microsoft.Cdn,AfdCustomDomain,RefreshValidationToken,Microsoft.Cdn/operationresults/profileresults/customdomainresults/RefreshValidationToken/action,,,False
Microsoft.Cdn,AfdCustomDomain,delete,Microsoft.Cdn/profiles/customdomains/delete,,,False
Microsoft.Cdn,AfdCustomDomain,delete,Microsoft.Cdn/operationresults/profileresults/customdomainresults/delete,,,False
Microsoft.Cdn,AfdCustomDomain,read,Microsoft.Cdn/profiles/customdomains/read,,,False
Microsoft.Cdn,AfdCustomDomain,read,Microsoft.Cdn/operationresults/profileresults/customdomainresults/read,,,False
Microsoft.Cdn,AfdCustomDomain,write,Microsoft.Cdn/profiles/customdomains/write,,,False
Microsoft.Cdn,AfdCustomDomain,write,Microsoft.Cdn/operationresults/profileresults/customdomainresults/write,,,False
Microsoft.Cdn,AfdEndpoint,CheckCustomDomainDNSMappingStatus,Microsoft.Cdn/profiles/afdendpoints/CheckCustomDomainDNSMappingStatus/action,,,False
Microsoft.Cdn,AfdEndpoint,CheckCustomDomainDNSMappingStatus,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/CheckCustomDomainDNSMappingStatus/action,,,False
Microsoft.Cdn,AfdEndpoint,CheckEndpointNameAvailability,Microsoft.Cdn/profiles/afdendpoints/CheckEndpointNameAvailability/action,,,False
Microsoft.Cdn,AfdEndpoint,CheckEndpointNameAvailability,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/CheckEndpointNameAvailability/action,,,False
Microsoft.Cdn,AfdEndpoint,Purge,Microsoft.Cdn/profiles/afdendpoints/Purge/action,,,False
Microsoft.Cdn,AfdEndpoint,Purge,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/Purge/action,,,False
Microsoft.Cdn,AfdEndpoint,Usages,Microsoft.Cdn/profiles/afdendpoints/Usages/action,,,False
Microsoft.Cdn,AfdEndpoint,Usages,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/Usages/action,,,False
Microsoft.Cdn,AfdEndpoint,ValidateCustomDomain,Microsoft.Cdn/profiles/afdendpoints/ValidateCustomDomain/action,,,False
Microsoft.Cdn,AfdEndpoint,ValidateCustomDomain,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/ValidateCustomDomain/action,,,False
Microsoft.Cdn,AfdEndpoint,delete,Microsoft.Cdn/profiles/afdendpoints/delete,,,False
Microsoft.Cdn,AfdEndpoint,delete,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/delete,,,False
Microsoft.Cdn,AfdEndpoint,read,Microsoft.Cdn/profiles/afdendpoints/read,,,False
Microsoft.Cdn,AfdEndpoint,read,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/read,,,False
Microsoft.Cdn,AfdEndpoint,write,Microsoft.Cdn/profiles/afdendpoints/write,,,False
Microsoft.Cdn,AfdEndpoint,write,Microsoft.Cdn/operationresults/profileresults/afdendpointresults/write,,,False
Microsoft.Cdn,AfdOrigin,delete,Microsoft.Cdn/profiles/origingroups/origins/delete,,,False
Microsoft.Cdn,AfdOrigin,delete,Microsoft.Cdn/operationresults/profileresults/origingroupresults/originresults/delete,,,False
Microsoft.Cdn,AfdOrigin,read,Microsoft.Cdn/profiles/origingroups/origins/read,,,False
Microsoft.Cdn,AfdOrigin,read,Microsoft.Cdn/operationresults/profileresults/origingroupresults/originresults/read,,,False
Microsoft.Cdn,AfdOrigin,write,Microsoft.Cdn/profiles/origingroups/origins/write,,,False
Microsoft.Cdn,AfdOrigin,write,Microsoft.Cdn/operationresults/profileresults/origingroupresults/originresults/write,,,False
Microsoft.Cdn,AfdOriginGroup,Usages,Microsoft.Cdn/profiles/origingroups/Usages/action,,,False
Microsoft.Cdn,AfdOriginGroup,Usages,Microsoft.Cdn/operationresults/profileresults/origingroupresults/Usages/action,,,False
Microsoft.Cdn,AfdOriginGroup,delete,Microsoft.Cdn/profiles/origingroups/delete,,,False
Microsoft.Cdn,AfdOriginGroup,delete,Microsoft.Cdn/operationresults/profileresults/origingroupresults/delete,,,False
Microsoft.Cdn,AfdOriginGroup,read,Microsoft.Cdn/profiles/origingroups/read,,,False
Microsoft.Cdn,AfdOriginGroup,read,Microsoft.Cdn/operationresults/profileresults/origingroupresults/read,,,False
Microsoft.Cdn,AfdOriginGroup,write,Microsoft.Cdn/profiles/origingroups/write,,,False
Microsoft.Cdn,AfdOriginGroup,write,Microsoft.Cdn/operationresults/profileresults/origingroupresults/write,,,False
