Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft ContainerRegistry,,Check Name Availability,Microsoft.ContainerRegistry/checkNameAvailability/read,Checks whether the container registry name is available for use.,,False
Microsoft ContainerRegistry,,Container Registry Resource Provider Operations,Microsoft.ContainerRegistry/operations/read,Lists all of the available Azure Container Registry REST API operations,,False
Microsoft ContainerRegistry,,Delete virtual network or subnets notifications,Microsoft.ContainerRegistry/locations/deleteVirtualNetworkOrSubnets/action,Notifies Microsoft.ContainerRegistry that virtual network or subnet is being deleted,,False
Microsoft ContainerRegistry,,Get Async Operation Result,Microsoft.ContainerRegistry/locations/operationResults/read,Gets an async operation result,,False
Microsoft ContainerRegistry,,Import Image,Microsoft.ContainerRegistry/registries/importImage/action,Import Image to container registry with the specified parameters.,,False
Microsoft ContainerRegistry,,Register the Container Registry Resource Provider,Microsoft.ContainerRegistry/register/action,Registers the subscription for the container registry resource provider and enables the creation of container registries.,,False
Microsoft ContainerRegistry,,Unregister the Container Registry Resource Provider,Microsoft.ContainerRegistry/unregister/action,Unregisters the subscription for the container registry resource provider.,,False
Microsoft ContainerRegistry,Archive,Create or Update Archive,Microsoft.ContainerRegistry/registries/packages/archives/write,Creates or updates a Archive for a container registry with the specified parameters,,False
Microsoft ContainerRegistry,Archive,Delete an Archive,Microsoft.ContainerRegistry/registries/packages/archives/delete,Delete an Archvie from a contianer registry,,False
Microsoft ContainerRegistry,Archive,Get  Archive or List Archvies,Microsoft.ContainerRegistry/registries/packages/archives/read,Get all the properties of Archive,,False
Microsoft ContainerRegistry,Archive version,Create or Update Archive Version,Microsoft.ContainerRegistry/registries/packages/archives/versions/write,Creates or updates a Archive version for an Archive with the specified parameter,,False
Microsoft ContainerRegistry,Archive version,Delete an Archive version,Microsoft.ContainerRegistry/registries/packages/archives/versions/delete,Delete an Archvie version from an Archive,,False
Microsoft ContainerRegistry,Archive version,Get  Archive version or List Archvie versions,Microsoft.ContainerRegistry/registries/packages/archives/versions/read,Get all the properties of Archive version,,False
Microsoft ContainerRegistry,Archive version,Get ArchiveVersionReadAsyncOperationStatus,Microsoft.ContainerRegistry/registries/packages/archives/versions/operationStatuses/read,Get Archive version async Operation Status,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection,Approve/Reject Private Endpoint Connection,Microsoft.ContainerRegistry/registries/privateEndpointConnections/write,Approves/Rejects the private endpoint connection,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection,Delete Private Endpoint Connection,Microsoft.ContainerRegistry/registries/privateEndpointConnections/delete,Deletes the private endpoint connection,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection,Get Private Endpoint Connection Async Operation Status,Microsoft.ContainerRegistry/registries/privateEndpointConnections/operationStatuses/read,Get Private Endpoint Connection Async Operation Status,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection,Get Private Endpoint Connection or List Private Endpoint Connections,Microsoft.ContainerRegistry/registries/privateEndpointConnections/read,Gets the properties of private endpoint connection or list all the private endpoint connections for the specified container registry,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Approval,Auto Approves a Private Endpoint Connection,Microsoft.ContainerRegistry/registries/privateEndpointConnectionsApproval/action,Auto Approves a Private Endpoint Connection,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Proxy,Create Private Endpoint Connection Proxy,Microsoft.ContainerRegistry/registries/privateEndpointConnectionProxies/write,Create the Private Endpoint Connection Proxy (NRP only),,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Proxy,Delete Private Endpoint Connection Proxy,Microsoft.ContainerRegistry/registries/privateEndpointConnectionProxies/delete,Delete the Private Endpoint Connection Proxy (NRP only),,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Proxy,Get Private Endpoint Connection Proxy,Microsoft.ContainerRegistry/registries/privateEndpointConnectionProxies/read,Get the Private Endpoint Connection Proxy (NRP only),,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Proxy,Get PrivateEndpointConnectionProxyAsyncOperationStatus,Microsoft.ContainerRegistry/registries/privateEndpointConnectionProxies/operationStatuses/read,Get Private Endpoint Connection Proxy Async Operation Status,,False
Microsoft ContainerRegistry,Azure Container Registry Private Endpoint Connection Proxy,Validate Private Endpoint Connection Proxy,Microsoft.ContainerRegistry/registries/privateEndpointConnectionProxies/validate/action,Validate the Private Endpoint Connection Proxy (NRP only),,False
Microsoft ContainerRegistry,Registries,Cancel an existing run.,Microsoft.ContainerRegistry/registries/runs/cancel/action,Cancel an existing run.,,False
Microsoft ContainerRegistry,Registries,Create or Update Container Registry,Microsoft.ContainerRegistry/registries/write,Creates or updates a container registry with the specified parameters.,,False
Microsoft ContainerRegistry,Registries,Create or Update a task for a container registry.,Microsoft.ContainerRegistry/registries/tasks/write,Creates or Updates a task for a container registry.,,False
Microsoft ContainerRegistry,Registries,Create or Update a taskrun for a container registry.,Microsoft.ContainerRegistry/registries/taskruns/write,Create or Update a taskrun for a container registry.,,False
Microsoft ContainerRegistry,Registries,Create or Update an agentpool for a container registry.,Microsoft.ContainerRegistry/registries/agentpools/write,Create or Update an agentpool for a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete Container Registry,Microsoft.ContainerRegistry/registries/delete,Deletes a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete a task for a container registry.,Microsoft.ContainerRegistry/registries/tasks/delete,Deletes a task for a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete a taskrun for a container registry.,Microsoft.ContainerRegistry/registries/taskruns/delete,Delete a taskrun for a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete an agentpool for a container registry.,Microsoft.ContainerRegistry/registries/agentpools/delete,Delete an agentpool for a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete artifact in a container registry.,Microsoft.ContainerRegistry/registries/artifacts/delete,Delete artifact in a container registry.,,False
Microsoft ContainerRegistry,Registries,Delete artifact in a container registry.,Microsoft.ContainerRegistry/registries/repositories/content/delete,Delete artifact in a container registry.,,True
Microsoft ContainerRegistry,Registries,Delete metadata of a repository for a container registry,Microsoft.ContainerRegistry/registries/repositories/metadata/delete,Delete the metadata of a repository for a container registry,,True
