Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DocumentDB,,Microsoft.DocumentDB/cassandraClusters/fetchNodeStatus/action,Microsoft.DocumentDB/cassandraClusters/fetchNodeStatus/action,Asynchronously fetch node status of all nodes in a managed Cassandra cluster,,False
Microsoft DocumentDB,,Microsoft.DocumentDB/cassandraClusters/repair/action,Microsoft.DocumentDB/cassandraClusters/repair/action,Request a repair of a managed Cassandra keyspace,,False
Microsoft DocumentDB,,Microsoft.DocumentDB/databaseAccounts/restore/action,Microsoft.DocumentDB/databaseAccounts/restore/action,Submit a restore request,,False
Microsoft DocumentDB,,Register Microsoft DocumentDB resource provider,Microsoft.DocumentDB/register/action, Register the Microsoft DocumentDB resource provider for the subscription,,False
Microsoft DocumentDB,Asynchronous Operations,Microsoft.DocumentDB/locations/operationsStatus/read,Microsoft.DocumentDB/locations/operationsStatus/read,Reads Status of Asynchronous Operations,,False
Microsoft DocumentDB,Cassandra Keyspace,Delete Cassandra keyspace,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/delete,Delete a Cassandra keyspace.,,False
Microsoft DocumentDB,Cassandra Keyspace,Read Cassandra keyspace(s),Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/read,Read a Cassandra keyspace or list all the Cassandra keyspaces.,,False
Microsoft DocumentDB,Cassandra Keyspace,Read operation results,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Cassandra Keyspace,Write Cassandra keyspace,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/write,Create a Cassandra keyspace.,,False
Microsoft DocumentDB,Cassandra Keyspace throughput setting,Read Cassandra keyspace throughput,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/throughputSettings/read,Read a Cassandra keyspace throughput.,,False
Microsoft DocumentDB,Cassandra Keyspace throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/throughputSettings/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Cassandra Keyspace throughput setting,Write Cassandra keyspace throughput,Microsoft.DocumentDB/databaseAccounts/cassandraKeyspaces/throughputSettings/write,Update a Cassandra keyspace throughput.,,False
