Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Azure Monitor,AADDomainServicesAccountLogon,Read AADDomainServicesAccountLogon data,Microsoft.Insights/Logs/AADDomainServicesAccountLogon/Read,Read data from the AADDomainServicesAccountLogon table,,False
Microsoft Azure Monitor,AADDomainServicesAccountManagement,Read AADDomainServicesAccountManagement data,Microsoft.Insights/Logs/AADDomainServicesAccountManagement/Read,Read data from the AADDomainServicesAccountManagement table,,False
Microsoft Azure Monitor,AADDomainServicesDirectoryServiceAccess,Read AADDomainServicesDirectoryServiceAccess data,Microsoft.Insights/Logs/AADDomainServicesDirectoryServiceAccess/Read,Read data from the AADDomainServicesDirectoryServiceAccess table,,False
Microsoft Azure Monitor,AADDomainServicesLogonLogoff,Read AADDomainServicesLogonLogoff data,Microsoft.Insights/Logs/AADDomainServicesLogonLogoff/Read,Read data from the AADDomainServicesLogonLogoff table,,False
Microsoft Azure Monitor,AADDomainServicesPolicyChange,Read AADDomainServicesPolicyChange data,Microsoft.Insights/Logs/AADDomainServicesPolicyChange/Read,Read data from the AADDomainServicesPolicyChange table,,False
Microsoft Azure Monitor,AADDomainServicesPrivilegeUse,Read AADDomainServicesPrivilegeUse data,Microsoft.Insights/Logs/AADDomainServicesPrivilegeUse/Read,Read data from the AADDomainServicesPrivilegeUse table,,False
Microsoft Azure Monitor,AADDomainServicesSystemSecurity,Read AADDomainServicesSystemSecurity data,Microsoft.Insights/Logs/AADDomainServicesSystemSecurity/Read,Read data from the AADDomainServicesSystemSecurity table,,False
Microsoft Azure Monitor,AADManagedIdentitySignInLogs,Read AADManagedIdentitySignInLogs data,Microsoft.Insights/Logs/AADManagedIdentitySignInLogs/Read,Read data from the AADManagedIdentitySignInLogs table,,False
Microsoft Azure Monitor,AADNonInteractiveUserSignInLogs,Read AADNonInteractiveUserSignInLogs data,Microsoft.Insights/Logs/AADNonInteractiveUserSignInLogs/Read,Read data from the AADNonInteractiveUserSignInLogs table,,False
Microsoft Azure Monitor,AADServicePrincipalSignInLogs,Read AADServicePrincipalSignInLogs data,Microsoft.Insights/Logs/AADServicePrincipalSignInLogs/Read,Read data from the AADServicePrincipalSignInLogs table,,False
Microsoft Azure Monitor,ADAssessmentRecommendation,Read ADAssessmentRecommendation data,Microsoft.Insights/Logs/ADAssessmentRecommendation/Read,Read data from the ADAssessmentRecommendation table,,False
Microsoft Azure Monitor,ADFActivityRun,Read ADFActivityRun data,Microsoft.Insights/Logs/ADFActivityRun/Read,Read data from the ADFActivityRun table,,False
Microsoft Azure Monitor,ADFPipelineRun,Read ADFPipelineRun data,Microsoft.Insights/Logs/ADFPipelineRun/Read,Read data from the ADFPipelineRun table,,False
Microsoft Azure Monitor,ADFSSISIntegrationRuntimeLogs,Read ADFSSISIntegrationRuntimeLogs data,Microsoft.Insights/Logs/ADFSSISIntegrationRuntimeLogs/Read,Read data from the ADFSSISIntegrationRuntimeLogs table,,False
Microsoft Azure Monitor,ADFSSISPackageEventMessageContext,Read ADFSSISPackageEventMessageContext data,Microsoft.Insights/Logs/ADFSSISPackageEventMessageContext/Read,Read data from the ADFSSISPackageEventMessageContext table,,False
