Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Key Vault,Access Policy,Update Access Policy,Microsoft.KeyVault/vaults/accessPolicies/write,"Updates an existing access policy by merging or replacing, or adds a new access policy to the key vault.",,False
Microsoft Key Vault,Certificate,Backup Certificate,Microsoft.KeyVault/vaults/certificates/backup/action,Creates the backup file of a certificate. The file can used to restore the certificate in a Key Vault of same subscription. Restrictions may apply.,,True
Microsoft Key Vault,Certificate,Create Certificate,Microsoft.KeyVault/vaults/certificates/create/action,"Creates a new certificate. If the certificate does not exist, the first version is created. Otherwise, a new version is created.",,True
Microsoft Key Vault,Certificate,Delete Certificate,Microsoft.KeyVault/vaults/certificates/delete,Deletes a certificate. All versions are deleted.,,True
Microsoft Key Vault,Certificate,Import Certificate,Microsoft.KeyVault/vaults/certificates/import/action,"Imports an existing valid certificate containing a private key. The certificate to be imported can be in either PFX or PEM format. If the certificate does not exist in Key Vault, the first version is created with specified content. Otherwise, a new version is created with specified content.",,True
Microsoft Key Vault,Certificate,Purge Certificate,Microsoft.KeyVault/vaults/certificates/purge/action,"Purges a certificate, making it unrecoverable.",,True
Microsoft Key Vault,Certificate,Read Certificate Properties,Microsoft.KeyVault/vaults/certificates/read,"List certificates in a specified key vault, or get information about a certificate.",,True
Microsoft Key Vault,Certificate,Recover Certificate,Microsoft.KeyVault/vaults/certificates/recover/action,"Recovers the deleted certificate. The operation performs the reversal of the Delete operation. The operation is applicable in vaults enabled for soft-delete, and must be issued during the retention interval.",,True
Microsoft Key Vault,Certificate,Restore Certificate,Microsoft.KeyVault/vaults/certificates/restore/action,Restores a certificate and all its versions from a backup file generated by Key Vault.,,True
Microsoft Key Vault,Certificate,Update Certificate,Microsoft.KeyVault/vaults/certificates/update/action,Updates the specified attributes associated with the given certificate.,,True
Microsoft Key Vault,Certificate Contact,Manage Certificate Contact,Microsoft.KeyVault/vaults/certificatecontacts/write,Manage Certificate Contact,,True
Microsoft Key Vault,Certificate Issuer,Delete Certificate Issuer,Microsoft.KeyVault/vaults/certificatecas/delete,Delete Certificate Issuer,,True
