Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Logic,Access Key,Delete Access Key,Microsoft.Logic/workflows/accessKeys/delete,Deletes the access key.,,False
Microsoft Logic,Access Key,Get Access Key,Microsoft.Logic/workflows/accessKeys/read,Reads the access key.,,False
Microsoft Logic,Access Key,List Access Key,Microsoft.Logic/workflows/accessKeys/list/action,Lists the access key secrets.,,False
Microsoft Logic,Access Key,Regenerate Access Key,Microsoft.Logic/workflows/accessKeys/regenerate/action,Regenerates the access key secrets.,,False
Microsoft Logic,Access Key,Regenerate Access Key,Microsoft.Logic/workflows/regenerateAccessKey/action,Regenerates the access key secrets.,,False
Microsoft Logic,Access Key,Set Access Key,Microsoft.Logic/workflows/accessKeys/write,Creates or updates the access key.,,False
Microsoft Logic,BusinessProcess,Delete business process.,Microsoft.Logic/businessprocesses/delete,Deletes the business process.,,False
Microsoft Logic,BusinessProcess,Get business process development artifact.,Microsoft.Logic/businessprocesses/developmentartifacts/read,Reads the business process development artifact.,,False
Microsoft Logic,BusinessProcess,Get business process version.,Microsoft.Logic/businessprocesses/versions/read,Reads the business process version.,,False
Microsoft Logic,BusinessProcess,Get business process.,Microsoft.Logic/businessprocesses/read,Reads the business process.,,False
Microsoft Logic,BusinessProcess,Validate business process development artifact.,Microsoft.Logic/businessprocesses/developmentartifacts/validate/action,Validates the business process development artifact.,,False
Microsoft Logic,BusinessProcess,Write business process development artifact.,Microsoft.Logic/businessprocesses/developmentartifacts/write,Writes the business process development artifact.,,False
Microsoft Logic,BusinessProcess,Write business process.,Microsoft.Logic/businessprocesses/write,Writes the business process.,,False
Microsoft Logic,FlowOrganizationTemplate,Delete flow organization template.,Microsoft.Logic/templates/delete,Deletes the flow organization template.,,False
Microsoft Logic,FlowOrganizationTemplate,Get flow organization template.,Microsoft.Logic/templates/read,Reads the flow organization template.,,False
Microsoft Logic,FlowOrganizationTemplate,Write flow organization template.,Microsoft.Logic/templates/write,Writes the flow organization template.,,False
Microsoft Logic,Integration Account,Delete Integration Account,Microsoft.Logic/integrationAccounts/delete,Deletes the integration account.,,False
Microsoft Logic,Integration Account,Get Integration Account,Microsoft.Logic/integrationAccounts/read,Reads the integration account.,,False
Microsoft Logic,Integration Account,Join Integration Account,Microsoft.Logic/integrationAccounts/join/action,Joins the Integration Account.,,False
Microsoft Logic,Integration Account,List Integration Account Callback URL,Microsoft.Logic/integrationAccounts/listCallbackUrl/action,Gets the callback URL for integration account.,,False
Microsoft Logic,Integration Account,List Key Vault Keys,Microsoft.Logic/integrationAccounts/listKeyVaultKeys/action,Gets the keys in the key vault.,,False
Microsoft Logic,Integration Account,Log Integration Account Tracking Events,Microsoft.Logic/integrationAccounts/logTrackingEvents/action,Logs the tracking events in the integration account.,,False
Microsoft Logic,Integration Account,Regenerate Access Key,Microsoft.Logic/integrationAccounts/regenerateAccessKey/action,Regenerates the access key secrets.,,False
Microsoft Logic,Integration Account,Set Integration Account,Microsoft.Logic/integrationAccounts/write,Creates or updates the integration account.,,False
Microsoft Logic,Integration Account Agreement,Delete Integration Account Agreement,Microsoft.Logic/integrationAccounts/agreements/delete,Deletes the agreement in integration account.,,False
Microsoft Logic,Integration Account Agreement,Get Integration Account Agreement,Microsoft.Logic/integrationAccounts/agreements/read,Reads the agreement in integration account.,,False
Microsoft Logic,Integration Account Agreement,List Integration Account Agreement Content Callback URL,Microsoft.Logic/integrationAccounts/agreements/listContentCallbackUrl/action,Gets the callback URL for agreement content in integration account.,,False
Microsoft Logic,Integration Account Agreement,Set Integration Account Agreement,Microsoft.Logic/integrationAccounts/agreements/write,Creates or updates the agreement in integration account.,,False
Microsoft Logic,Integration Account Assembly,Delete Integration Account Assembly,Microsoft.Logic/integrationAccounts/assemblies/delete,Deletes the assembly in integration account.,,False
Microsoft Logic,Integration Account Assembly,Get Integration Account Assembly,Microsoft.Logic/integrationAccounts/assemblies/read,Reads the assembly in integration account.,,False
Microsoft Logic,Integration Account Assembly,List Integration Account Assembly Content Callback URL,Microsoft.Logic/integrationAccounts/assemblies/listContentCallbackUrl/action,Gets the callback URL for assembly content in integration account.,,False
Microsoft Logic,Integration Account Assembly,Set Integration Account Assembly,Microsoft.Logic/integrationAccounts/assemblies/write,Creates or updates the assembly in integration account.,,False
Microsoft Logic,Integration Account Batch Configuration,Delete Integration Account Batch Configuration,Microsoft.Logic/integrationAccounts/batchConfigurations/delete,Deletes the batch configuration in integration account.,,False
Microsoft Logic,Integration Account Batch Configuration,Get Integration Account Batch Configuration,Microsoft.Logic/integrationAccounts/batchConfigurations/read,Reads the batch configuration in integration account.,,False
Microsoft Logic,Integration Account Batch Configuration,Set Integration Account Batch Configuration,Microsoft.Logic/integrationAccounts/batchConfigurations/write,Creates or updates the batch configuration in integration account.,,False
Microsoft Logic,Integration Account Certificate,Delete Integration Account Certificate,Microsoft.Logic/integrationAccounts/certificates/delete,Deletes the certificate in integration account.,,False
Microsoft Logic,Integration Account Certificate,Get Integration Account Certificate,Microsoft.Logic/integrationAccounts/certificates/read,Reads the certificate in integration account.,,False
Microsoft Logic,Integration Account Certificate,Set Integration Account Certificate,Microsoft.Logic/integrationAccounts/certificates/write,Creates or updates the certificate in integration account.,,False
Microsoft Logic,Integration Account Group,Delete Integration Account Group,Microsoft.Logic/integrationAccounts/groups/delete,Deletes the group in integration account.,,False
Microsoft Logic,Integration Account Group,Get Integration Account Group,Microsoft.Logic/integrationAccounts/groups/read,Reads the group in integration account.,,False
Microsoft Logic,Integration Account Group,Set Integration Account Group,Microsoft.Logic/integrationAccounts/groups/write,Creates or updates the group in integration account.,,False
Microsoft Logic,Integration Account Log Definition,Get Integration Account Log Definition,Microsoft.Logic/integrationAccounts/providers/Microsoft.Insights/logDefinitions/read,Reads the Integration Account log definitions.,System,False
