Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DB for MariaDB,Administrator of MariaDB server.,Create/Update Administrator of MariaDB server.,Microsoft.DBforMariaDB/servers/administrators/write,Creates or updates MariaDB server administrator with the specified parameters.,,False
Microsoft DB for MariaDB,Administrator of MariaDB server.,Delete Administrator of MariaDB server.,Microsoft.DBforMariaDB/servers/administrators/delete,Deletes an existing administrator of MariaDB server.,,False
Microsoft DB for MariaDB,Administrator of MariaDB server.,Get Administrators of MariaDB server.,Microsoft.DBforMariaDB/servers/administrators/read,Gets a list of MariaDB server administrators.,,False
Microsoft DB for MariaDB,Administrator opertiaons of MariaDB server.,MariaDB server administrator operation,Microsoft.DBforMariaDB/locations/administratorAzureAsyncOperation/read,Gets in-progress operations on MariaDB server administrators,,False
Microsoft DB for MariaDB,Advisors,Return an advisor,Microsoft.DBforMariaDB/servers/advisors/read,Return an advisor,,False
Microsoft DB for MariaDB,Advisors,Return the list of advisors,Microsoft.DBforMariaDB/servers/advisors/read,Return the list of advisors,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,Create/Update Azure Database for MariaDB Private Endpoint Connection Proxy,Microsoft.DBforMariaDB/servers/privateEndpointConnectionProxies/write,Creates a private endpoint connection proxy with the specified parameters or updates the properties or tags for the specified private endpoint connection proxy.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,Delete Azure Database for MariaDB Private Endpoint Connection Proxy,Microsoft.DBforMariaDB/servers/privateEndpointConnectionProxies/delete,Deletes an existing private endpoint connection proxy,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,Get private endpoint connection proxy operation status,Microsoft.DBforMariaDB/locations/privateEndpointConnectionProxyOperationResults/read,Gets the result for a private endpoint connection proxy operation,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,Get private endpoint connection proxy operation status,Microsoft.DBforMariaDB/locations/privateEndpointConnectionProxyAzureAsyncOperation/read,Gets the result for a private endpoint connection proxy operation,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,List/Get Azure Database for MariaDB Private Endpoint Connection Proxy,Microsoft.DBforMariaDB/servers/privateEndpointConnectionProxies/read,Returns the list of private endpoint connection proxies or gets the properties for the specified private endpoint connection proxy.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Private Endpoint Connection Proxy,Validate Azure Database for MariaDB Private Endpoint Connection Creation by NRP,Microsoft.DBforMariaDB/servers/privateEndpointConnectionProxies/validate/action,Validates a private endpoint connection create call from NRP side,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Server Keys,Create/Update Azure Database for MariaDB Server Keys,Microsoft.DBforMariaDB/servers/keys/write,Creates a key with the specified parameters or update the properties or tags for the specified server key.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Server Keys,Delete Azure Database for MariaDB Server Key,Microsoft.DBforMariaDB/servers/keys/delete,Deletes an existing server key.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB Server Keys,List/Get Azure Database for MariaDB Server Key(s),Microsoft.DBforMariaDB/servers/keys/read,Return the list of server keys or gets the properties for the specified server key.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private endpoint connection,Approve or Reject Azure Database for MariaDB private endpoint connection,Microsoft.DBforMariaDB/servers/privateEndpointConnections/write,Approves or rejects an existing private endpoint connection,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private endpoint connection,Delete Azure Database for MariaDB private endpoint connection,Microsoft.DBforMariaDB/servers/privateEndpointConnections/delete,Deletes an existing private endpoint connection,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private endpoint connection,Get private endpoint connection operation status,Microsoft.DBforMariaDB/locations/privateEndpointConnectionOperationResults/read,Gets the result for a private endpoint connection operation,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private endpoint connection,Get private endpoint connection operation status,Microsoft.DBforMariaDB/locations/privateEndpointConnectionAzureAsyncOperation/read,Gets the result for a private endpoint connection operation,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private endpoint connection,List/Get Azure Database for MariaDB private endpoint connection,Microsoft.DBforMariaDB/servers/privateEndpointConnections/read,Returns the list of private endpoint connections or gets the properties for the specified private endpoint connection.,,False
Microsoft DB for MariaDB,Azure Database for MariaDB private link resource,Get the private link resources for the corresponding MariaDB Server,Microsoft.DBforMariaDB/servers/privateLinkResources/read,Get the private link resources for the corresponding MariaDB Server,,False
Microsoft DB for MariaDB,Configurations,List/Get Configurations,Microsoft.DBforMariaDB/servers/configurations/read,Return the list of configurations for a server or gets the properties for the specified configuration.,,False
Microsoft DB for MariaDB,Configurations,Update Configuration,Microsoft.DBforMariaDB/servers/configurations/write,Update the value for the specified configuration,,False
Microsoft DB for MariaDB,Data Encryption server key operation,Data Encryption server keys operation,Microsoft.DBforMariaDB/locations/serverKeyAzureAsyncOperation/read,Gets in-progress operations on data encryption server keys,,False
Microsoft DB for MariaDB,Data Encryption server key operation,Data Encryption server keys operation,Microsoft.DBforMariaDB/locations/serverKeyOperationResults/read,Gets in-progress operations on transparent data encryption server keys,,False
Microsoft DB for MariaDB,Database Metric Definition,Get database metric definitions,Microsoft.DBforMariaDB/servers/providers/Microsoft.Insights/metricDefinitions/read,Return types of metrics that are available for databases,,False
Microsoft DB for MariaDB,Database Metric Definition,Read diagnostic setting,Microsoft.DBforMariaDB/servers/providers/Microsoft.Insights/diagnosticSettings/read,Gets the disagnostic setting for the resource,,False
Microsoft DB for MariaDB,Database Metric Definition,Write diagnostic setting,Microsoft.DBforMariaDB/servers/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting for the resource,,False
Microsoft DB for MariaDB,Firewall Rules,Create/Update Firewall Rule,Microsoft.DBforMariaDB/servers/firewallRules/write,Creates a firewall rule with the specified parameters or update an existing rule.,,False
Microsoft DB for MariaDB,Firewall Rules,Delete Firewall Rule,Microsoft.DBforMariaDB/servers/firewallRules/delete,Deletes an existing firewall rule.,,False
Microsoft DB for MariaDB,Firewall Rules,List/Get Firewall Rules,Microsoft.DBforMariaDB/servers/firewallRules/read,Return the list of firewall rules for a server or gets the properties for the specified firewall rule.,,False
Microsoft DB for MariaDB,MariaDB Databases,Create/Update MariaDB Database,Microsoft.DBforMariaDB/servers/databases/write,Creates a MariaDB Database with the specified parameters or update the properties for the specified Database.,,False
Microsoft DB for MariaDB,MariaDB Databases,Delete MariaDB Database,Microsoft.DBforMariaDB/servers/databases/delete,Deletes an existing MariaDB Database.,,False
Microsoft DB for MariaDB,MariaDB Databases,List/Get MySQL Database,Microsoft.DBforMariaDB/servers/databases/read,Return the list of MariaDB Databases or gets the properties for the specified Database.,,False
Microsoft DB for MariaDB,MariaDB LogFiles,List/Get MySQL LogFiles,Microsoft.DBforMariaDB/servers/logFiles/read,Return the list of MariaDB LogFiles.,,False
Microsoft DB for MariaDB,MariaDB Operations,List/Get MariaDB Operations,Microsoft.DBforMariaDB/operations/read,Return the list of MariaDB Operations.,,False
Microsoft DB for MariaDB,MariaDB ResourceGroup based Server Operation Results,Get MariaDB ResourceGroup based Server Operation Results ,Microsoft.DBforMariaDB/locations/operationResults/read,Return ResourceGroup based MariaDB Server Operation Results,,False
Microsoft DB for MariaDB,MariaDB Server,Batch Update Server Configurations,Microsoft.DBforMariaDB/servers/updateConfigurations/action,Update configurations for the specified server,,False
Microsoft DB for MariaDB,MariaDB Server,Check Server Name Availability,Microsoft.DBforMariaDB/checkNameAvailability/action,Verify whether given server name is available for provisioning worldwide for a given subscription.,,False
Microsoft DB for MariaDB,MariaDB Server,Create/Update MariaDB Server,Microsoft.DBforMariaDB/servers/write,Creates a server with the specified parameters or update the properties or tags for the specified server.,,False
Microsoft DB for MariaDB,MariaDB Server,Delete MariaDB Server,Microsoft.DBforMariaDB/servers/delete,Deletes an existing server.,,False
Microsoft DB for MariaDB,MariaDB Server,Get MariaDB read replicas,Microsoft.DBforMariaDB/servers/replicas/read,Get read replicas of a MariaDB server,,False
Microsoft DB for MariaDB,MariaDB Server,List/Get MariaDB Servers,Microsoft.DBforMariaDB/servers/read,Return the list of servers or gets the properties for the specified server.,,False
Microsoft DB for MariaDB,MariaDB Server,Restart MariaDB Server,Microsoft.DBforMariaDB/servers/restart/action,Restarts a specific server.,,False
Microsoft DB for MariaDB,MariaDB Server,Start MariaDB Server,Microsoft.DBforMariaDB/servers/start/action,Starts a specific server.,,False
Microsoft DB for MariaDB,MariaDB Server,Stop MariaDB Server,Microsoft.DBforMariaDB/servers/stop/action,Stops a specific server.,,False
Microsoft DB for MariaDB,MariaDB Server Operation Results,Get MariaDB Server Operation Results,Microsoft.DBforMariaDB/locations/operationResults/read,Return MariaDB Server Operation Results,,False
Microsoft DB for MariaDB,MariaDB Server Operation Results,Get MariaDB Server Operation Results,Microsoft.DBforMariaDB/locations/azureAsyncOperation/read,Return MariaDB Server Operation Results,,False
Microsoft DB for MariaDB,MariaDB server operation results,Get MariaDB server operation results,Microsoft.DBforMariaDB/locations/administratorOperationResults/read,Return MariaDB Server administrator operation results,,False
Microsoft DB for MariaDB,Microsoft Database For MariaDB Resource Provider,Register MariaDB Resource Provider,Microsoft.DBforMariaDB/register/action,Register MariaDB Resource Provider,,False
Microsoft DB for MariaDB,Performance Tiers,List Performance Tiers,Microsoft.DBforMariaDB/locations/performanceTiers/read,Returns the list of Performance Tiers available.,,False
Microsoft DB for MariaDB,Performance Tiers,List Performance Tiers,Microsoft.DBforMariaDB/servers/performanceTiers/read,Returns the list of Performance Tiers available.,,False
Microsoft DB for MariaDB,Performance Tiers,List Performance Tiers,Microsoft.DBforMariaDB/performanceTiers/read,Returns the list of Performance Tiers available.,,False
Microsoft DB for MariaDB,Private Endpoint Connections Approval,Private Endpoint Connections Approval,Microsoft.DBforMariaDB/servers/privateEndpointConnectionsApproval/action,Determines if user is allowed to approve a private endpoint connection,,False
Microsoft DB for MariaDB,Private Endpoint Connections Approval,Private Endpoint Connections Approval,Microsoft.DBforMariaDB/privateEndpointConnectionsApproval/action,Determines if user is allowed to approve a private endpoint connection,,False
Microsoft DB for MariaDB,Query Texts,List query texts for a list of queries,Microsoft.DBforMariaDB/servers/queryTexts/action,Return the texts for a list of queries,,False
Microsoft DB for MariaDB,Query Texts,Return the text of a query,Microsoft.DBforMariaDB/servers/queryTexts/action,Return the text of a query,,False
Microsoft DB for MariaDB,Recommended Actions,Create a new recommendation action session,Microsoft.DBforMariaDB/servers/advisors/createRecommendedActionSession/action,Create a new recommendation action session,,False
Microsoft DB for MariaDB,Recommended Actions,Return a recommended action,Microsoft.DBforMariaDB/servers/advisors/recommendedActions/read,Return a recommended action,,False
Microsoft DB for MariaDB,Recommended Actions,Return the list of recommended actions,Microsoft.DBforMariaDB/servers/advisors/recommendedActions/read,Return the list of recommended actions,,False
Microsoft DB for MariaDB,Recommended Actions,Return the list of recommended actions,Microsoft.DBforMariaDB/servers/advisors/recommendedActions/read,Return the list of recommended actions,,False
Microsoft DB for MariaDB,Recoverable MariaDB Server,Get Recoverable MariaDB Server info,Microsoft.DBforMariaDB/servers/recoverableServers/read,Return the recoverable MariaDB Server info,,False
Microsoft DB for MariaDB,Reset Query Performance Insight data,Reset Query Performance Insight data,Microsoft.DBforMariaDB/servers/resetQueryPerformanceInsightData/action,Reset Query Performance Insight data,,False
Microsoft DB for MariaDB,Server Threat Detection Policy,Get server threat detection policy,Microsoft.DBforMariaDB/servers/securityAlertPolicies/read,Retrieve details of the server threat detection policy configured on a given server,,False
Microsoft DB for MariaDB,Server Threat Detection Policy,List server threat detection policies,Microsoft.DBforMariaDB/servers/securityAlertPolicies/read,Retrieve a list of server threat detection policies configured for a given server,,False
Microsoft DB for MariaDB,Server Threat Detection Policy,Update server threat detection policy,Microsoft.DBforMariaDB/servers/securityAlertPolicies/write,Change the server threat detection policy for a given server,,False
Microsoft DB for MariaDB,Server threat detection operation result,List/Get Server threat detection operation result.,Microsoft.DBforMariaDB/locations/securityAlertPoliciesOperationResults/read,Return the list of Server threat detection operation result.,,False
Microsoft DB for MariaDB,Server threat detection operation result,List/Get Server threat detection operation result.,Microsoft.DBforMariaDB/locations/securityAlertPoliciesAzureAsyncOperation/read,Return the list of Server threat detection operation result.,,False
Microsoft DB for MariaDB,The log definition of servers,Read the log definitions,Microsoft.DBforMariaDB/servers/providers/Microsoft.Insights/logDefinitions/read,Gets the available logs for MariaDB servers,,False
Microsoft DB for MariaDB,Top Query Statistics,Get a Query Statistic,Microsoft.DBforMariaDB/servers/topQueryStatistics/read,Return a Query Statistic,,False
Microsoft DB for MariaDB,Top Query Statistics,List/Get Query Statistic(s) for top queries,Microsoft.DBforMariaDB/servers/topQueryStatistics/read,Return the list of Query Statistics for the top queries.,,False
Microsoft DB for MariaDB,Virtual Network Rules,Create/Update Virtual Network Rule,Microsoft.DBforMariaDB/servers/virtualNetworkRules/write,Creates a virtual network rule with the specified parameters or update the properties or tags for the specified virtual network rule.,,False
Microsoft DB for MariaDB,Virtual Network Rules,Delete Virtual Network Rule,Microsoft.DBforMariaDB/servers/virtualNetworkRules/delete,Deletes an existing Virtual Network Rule,,False
Microsoft DB for MariaDB,Virtual Network Rules,List/Get Virtual Network Rule(s),Microsoft.DBforMariaDB/servers/virtualNetworkRules/read,Return the list of virtual network rules or gets the properties for the specified virtual network rule.,,False
Microsoft DB for MariaDB,Wait Statistics,List Wait Statistics for an instance,Microsoft.DBforMariaDB/servers/waitStatistics/read,Return wait statistics for an instance,,False
Microsoft DB for MariaDB,Wait Statistics,Return a wait statistic,Microsoft.DBforMariaDB/servers/waitStatistics/read,Return a wait statistic,,False
