Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DB for PostgreSQL,Available Engine Versions,List Available Engine Versions,Microsoft.DBforPostgreSQL/availableEngineVersions/read,Returns the list of available engine versions.,,False
Microsoft DB for PostgreSQL,Cluster Configurations,List/Get Configurations of Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/configurations/read,Returns the list of configurations for a cluster or gets the value for the specified configuration.,,False
Microsoft DB for PostgreSQL,Cluster Configurations,Update Configurations of Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/configurations/write,Update an value of configuration.,,False
Microsoft DB for PostgreSQL,Firewall Rules,Create/Update Firewall Rule,Microsoft.DBforPostgreSQL/serverGroupsv2/firewallRules/write,Creates a firewall rule with the specified parameters or update an existing rule.,,False
Microsoft DB for PostgreSQL,Firewall Rules,Delete Firewall Rule,Microsoft.DBforPostgreSQL/serverGroupsv2/firewallRules/delete,Deletes an existing firewall rule.,,False
Microsoft DB for PostgreSQL,Firewall Rules,List/Get Firewall Rules,Microsoft.DBforPostgreSQL/serverGroupsv2/firewallRules/read,Returns the list of firewall rules for a cluster or gets the properties for the specified firewall rule.,,False
Microsoft DB for PostgreSQL,Name Availability,Check Name Availability,Microsoft.DBforPostgreSQL/checkNameAvailability/action,Check if the name is available.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Create/Update PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/write,Creates a cluster with the specified parameters or update the properties or tags for the specified cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Delete PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/delete,Deletes an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,List/Get PostgreSQL Clusters,Microsoft.DBforPostgreSQL/serverGroupsv2/read,Returns the list of clusters or gets the properties for the specified cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Promote PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/promote/action,Promotes an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Restart PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/restart/action,Restarts servers of an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Start PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/start/action,Starts servers of an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Stop PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/stop/action,Stops servers of an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Update PostgreSQL Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/update,Updates an existing cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Cluster,Upgrade PostgreSQL Cluster to Paid Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/upgrade_to_paid_cluster/action,Upgrades an existing cluster to paid cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Server,List/Get PostgreSQL Servers of Cluster,Microsoft.DBforPostgreSQL/serverGroupsv2/servers/read,Returns the list of servers of cluster or gets the properties for the specified server from cluster.,,False
Microsoft DB for PostgreSQL,PostgreSQL Server Configurations,List/Get Configurations of Server,Microsoft.DBforPostgreSQL/serverGroupsv2/servers/configurations/read,Returns the list of configurations for a server or gets the value for the specified configuration.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connection Proxies,Create/Update Private Endpoint Connection Proxy,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnectionProxies/write,Creates/Updates the value for the private endpoint connection proxy.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connection Proxies,Delete Private Endpoint Connection Proxy,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnectionProxies/delete,Deletes the private endpoint connection proxy.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connection Proxies,Get Private Endpoint Connection Proxy,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnectionProxies/read,Get the value for the private endpoint connection proxy.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connection Proxies,Validate Private Endpoint Connection Proxy,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnectionProxies/validate/action,validates the private endpoint connection proxy.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connections,Create/Update Private Endpoint Connection,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnections/write,Creates/Updates the value for the private endpoint connection.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connections,Delete Private Endpoint Connection,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnections/delete,Deletes the private endpoint connection.,,False
Microsoft DB for PostgreSQL,Private Endpoint Connections,List/Get Private Endpoint Connections,Microsoft.DBforPostgreSQL/serverGroupsv2/privateEndpointConnections/read,Returns the list of private endpoint connections or gets the value for the private endpoint connection.,,False
Microsoft DB for PostgreSQL,Private Link Resources,List/Get Private Link Resources,Microsoft.DBforPostgreSQL/serverGroupsv2/privateLinkResources/read,Returns the list of private link resources or gets the value for the private link resource.,,False
Microsoft DB for PostgreSQL,Roles,Create/Update Role,Microsoft.DBforPostgreSQL/serverGroupsv2/roles/write,Creates a role with the specified parameters or updates an role.,,False
Microsoft DB for PostgreSQL,Roles,Delete Role,Microsoft.DBforPostgreSQL/serverGroupsv2/roles/delete,Deletes an existing role.,,False
Microsoft DB for PostgreSQL,Roles,List/Get Roles,Microsoft.DBforPostgreSQL/serverGroupsv2/roles/read,Returns the list of firewall rules for a cluster or gets the properties for the specified role.,,False
