Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/removeInfra/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/unplannedFailover/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/testFailover/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/testFailoverCleanup/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/applyRecoveryPoint/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/failoverCommit/action,,"user,system",False
Microsoft.RecoveryServices,,,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/repairReplication/action,,"user,system",False
Microsoft.RecoveryServices,,Create or Update ,Microsoft.RecoveryServices/vaults/replicationProtectionIntents/write,Create or Update any ,"user,system",False
Microsoft.RecoveryServices,,Create or Update ,Microsoft.RecoveryServices/vaults/replicationVaultSettings/write,Create or Update any ,"user,system",False
Microsoft.RecoveryServices,,Delete ,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/delete,Delete any ,"user,system",False
Microsoft.RecoveryServices,,Read ,Microsoft.RecoveryServices/vaults/replicationSupportedOperatingSystems/read,Read any ,"user,system",False
Microsoft.RecoveryServices,,Read ,Microsoft.RecoveryServices/vaults/replicationProtectionIntents/read,Read any ,"user,system",False
Microsoft.RecoveryServices,,Read ,Microsoft.RecoveryServices/vaults/replicationVaultSettings/read,Read any ,"user,system",False
Microsoft.RecoveryServices,,Read ,Microsoft.RecoveryServices/vaults/replicationSupportedRegionMappings/read,Read any ,"user,system",False
Microsoft.RecoveryServices,,Read ,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/read,Read any ,"user,system",False
Microsoft.RecoveryServices,,Track the results of an asynchronous operation on the resource ,Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionClusters/operationresults/read,Track the results of an asynchronous operation on the resource ,"user,system",False
