Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Cache,,Check Cache Name Availability,Microsoft.Cache/checknameavailability/action,Checks if a name is available for use with a new Redis Cache,,False
Microsoft Cache,,Check Cache Name Availability in location,Microsoft.Cache/locations/checknameavailability/action,Checks if a name is available for use with a new Redis Enterprise cache,,False
Microsoft Cache,,List Provider Operations,Microsoft.Cache/operations/read,Lists the operations that 'Microsoft.Cache' provider supports.,,False
Microsoft Cache,,Read asynchronous operation status,Microsoft.Cache/locations/asyncOperations/read,Read an Async Operation's Status,,False
Microsoft Cache,,Read operation results,Microsoft.Cache/locations/operationResults/read,Gets the result of a long running operation for which the 'Location' header was previously returned to the client,,False
Microsoft Cache,,Read the status of a long running operation,Microsoft.Cache/locations/operationsStatus/read,View the status of a long running operation for which the 'AzureAsync' header was previously returned to the client,,False
Microsoft Cache,,Register Resource Provider Microsoft.Cache,Microsoft.Cache/register/action,Registers the 'Microsoft.Cache' resource provider with a subscription,,False
Microsoft Cache,,Unregister Resource Provider Microsoft.Cache,Microsoft.Cache/unregister/action,Unregisters the 'Microsoft.Cache' resource provider with a subscription,,False
Microsoft Cache,Access Policies for Redis,Delete Access Policies,Microsoft.Cache/redis/accessPolicies/delete,Delete Redis Access Policies,,False
Microsoft Cache,Access Policies for Redis,Get Access Policies,Microsoft.Cache/redis/accessPolicies/read,Get Redis Access Policies,,False
Microsoft Cache,Access Policies for Redis,Modify Access Policies,Microsoft.Cache/redis/accessPolicies/write,Modify Redis Access Policies,,False
Microsoft Cache,Access Policy Assignments for Redis,Delete Access Policy Assignments,Microsoft.Cache/redis/accessPolicyAssignments/delete,Delete Access Policy Assignments,,False
Microsoft Cache,Access Policy Assignments for Redis,Get Access Policy Assignments,Microsoft.Cache/redis/accessPolicyAssignments/read,Get Redis Access Policy Assignments,,False
Microsoft Cache,Access Policy Assignments for Redis,Modify Access Policy Assignments,Microsoft.Cache/redis/accessPolicyAssignments/write,Modify Redis Access Policy Assignments,,False
Microsoft Cache,Azure Cache for Redis Detector,Get Azure Cache for Redis Detector,Microsoft.Cache/redis/detectors/read,Get the properties of one or all detectors for an Azure Cache for Redis cache,,False
Microsoft Cache,Azure Cache for Redis private endpoint connection proxies,Create private endpoint connection proxy,Microsoft.Cache/redis/privateEndpointConnectionProxies/write,Create the private endpoint connection proxy,,False
Microsoft Cache,Azure Cache for Redis private endpoint connection proxies,Delete private endpoint connection proxy,Microsoft.Cache/redis/privateEndpointConnectionProxies/delete,Delete the private endpoint connection proxy,,False
Microsoft Cache,Azure Cache for Redis private endpoint connection proxies,Get private endpoint connection proxy,Microsoft.Cache/redis/privateEndpointConnectionProxies/read,Get the private endpoint connection proxy,,False
Microsoft Cache,Azure Cache for Redis private endpoint connection proxies,Validate private endpoint connection proxy,Microsoft.Cache/redis/privateEndpointConnectionProxies/validate/action,Validate the private endpoint connection proxy,,False
Microsoft Cache,Azure Cache for Redis private endpoint connections,Delete private endpoint connection,Microsoft.Cache/redis/privateEndpointConnections/delete,Delete a private endpoint connection,,False
