Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Security,Adaptive Network Hardening,Gets Adaptive Network Hardening recommendations,Microsoft.Security/adaptiveNetworkHardenings/read,Gets Adaptive Network Hardening recommendations of an Azure protected resource,user,False
Microsoft Security,Adaptive Network Hardening,Traffic hardening rules enforcement,Microsoft.Security/adaptiveNetworkHardenings/enforce/action,Enforces the given traffic hardening rules by creating matching security rules on the given Network Security Group(s),user,False
Microsoft Security,Advanced Threat Protection Settings,Gets the Advanced Threat Protection Settings,Microsoft.Security/advancedThreatProtectionSettings/read,Gets the Advanced Threat Protection Settings for the resource,user,False
Microsoft Security,Advanced Threat Protection Settings,Updates the Advanced Threat Protection Settings,Microsoft.Security/advancedThreatProtectionSettings/write,Updates the Advanced Threat Protection Settings for the resource,user,False
Microsoft Security,Aggregated Alerts,Dismiss IoT aggregated alerts,Microsoft.Security/iotSecuritySolutions/analyticsModels/aggregatedAlerts/dismiss/action,Dismisses IoT aggregated alerts,user,False
Microsoft Security,Aggregated Alerts,Get IoT aggregated alerts,Microsoft.Security/iotSecuritySolutions/analyticsModels/aggregatedAlerts/read,Gets IoT aggregated alerts,user,False
Microsoft Security,Aggregated Recommendations,Get IoT aggregated recommendations,Microsoft.Security/iotSecuritySolutions/analyticsModels/aggregatedRecommendations/read,Gets IoT aggregated recommendations,user,False
Microsoft Security,Aggregations,Get aggregations,Microsoft.Security/aggregations/read,Gets aggregations,user,False
Microsoft Security,Aggregations,Get aggregations,Microsoft.Security/aggregations/action,Gets aggregations,user,False
Microsoft Security,Analytics Models,Get IoT alert types,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT alert types,user,False
Microsoft Security,Analytics Models,Get IoT alert types,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT alert types,user,False
Microsoft Security,Analytics Models,Get IoT alerts,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT alerts,user,False
Microsoft Security,Analytics Models,Get IoT alerts,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT alerts,user,False
Microsoft Security,Analytics Models,Get IoT recommendation types,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT recommendation types,user,False
Microsoft Security,Analytics Models,Get IoT recommendation types,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT recommendation types,user,False
Microsoft Security,Analytics Models,Get IoT recommendations,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT recommendations,user,False
Microsoft Security,Analytics Models,Get IoT recommendations,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT recommendations,user,False
Microsoft Security,Analytics Models,Get IoT security analytics model,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets IoT security analytics model,user,False
Microsoft Security,Analytics Models,Get device or a list of devices,Microsoft.Security/iotSecuritySolutions/analyticsModels/read,Gets devices,user,False
Microsoft Security,Api Collections,Create Api Collections,Microsoft.Security/apiCollections/write,Create Api Collections,user,False
Microsoft Security,Api Collections,Delete Api Collections,Microsoft.Security/apiCollections/delete,Delete Api Collections,user,False
Microsoft Security,Api Collections,Get Api Collections,Microsoft.Security/apiCollections/read,Get Api Collections,user,False
Microsoft Security,App Whitelistings,Create or Update App Whitelisting,Microsoft.Security/applicationWhitelistings/write,Creates a new application whitelisting or updates an existing one,user,False
Microsoft Security,App Whitelistings,Get App Whitelisting,Microsoft.Security/applicationWhitelistings/read,Gets the application whitelistings,user,False
Microsoft Security,Assessment Metadata,Create assessment metadata,Microsoft.Security/assessmentMetadata/write,Create or update a security assessment metadata,user,False
Microsoft Security,Assessment Metadata,Get assessment metadata,Microsoft.Security/assessmentMetadata/read,Get available security assessment metadata on your subscription,user,False
Microsoft Security,Assessments,Create assessment,Microsoft.Security/assessments/write,Create or update security assessments on your subscription,user,False
Microsoft Security,Assessments,Get assessments,Microsoft.Security/assessments/read,Get security assessments on your subscription,user,False
Microsoft Security,Auto Provisioning Settings,Create auto provisioning setting,Microsoft.Security/autoProvisioningSettings/write,Create or update security auto provisioning setting for the subscription,user,False
Microsoft Security,Auto Provisioning Settings,Get auto provisioning setting,Microsoft.Security/autoProvisioningSettings/read,Get security auto provisioning setting for the subscription,user,False
