Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Azure ServiceBus,AuthorizationRules,Create or Update Namespace Authorization Rules,Microsoft.ServiceBus/namespaces/authorizationRules/write,"Create a Namespace level Authorization Rules and update its properties. The Authorization Rules Access Rights, the Primary and Secondary Keys can be updated.",,False
Microsoft Azure ServiceBus,AuthorizationRules,Delete Namespace Authorization Rule,Microsoft.ServiceBus/namespaces/authorizationRules/delete,Delete Namespace Authorization Rule. The Default Namespace Authorization Rule cannot be deleted. ,,False
Microsoft Azure ServiceBus,AuthorizationRules,Get Disaster Recovery Primary Namespace's Authorization Rules,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/authorizationRules/read,Get Disaster Recovery Primary Namespace's Authorization Rules,,False
Microsoft Azure ServiceBus,AuthorizationRules,Get Namespace Authorization Rules,Microsoft.ServiceBus/namespaces/authorizationRules/read,Get the list of Namespaces Authorization Rules description.,,False
Microsoft Azure ServiceBus,AuthorizationRules,Get Namespace Listkeys,Microsoft.ServiceBus/namespaces/authorizationRules/listkeys/action,Get the Connection String to the Namespace,,False
Microsoft Azure ServiceBus,AuthorizationRules,Gets the authorization rules keys for the Disaster Recovery primary namespace,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/authorizationRules/listkeys/action,Gets the authorization rules keys for the Disaster Recovery primary namespace,,False
Microsoft Azure ServiceBus,AuthorizationRules,Resource Regeneratekeys,Microsoft.ServiceBus/namespaces/authorizationRules/regenerateKeys/action,Regenerate the Primary or Secondary key to the Resource,,False
Microsoft Azure ServiceBus,AuthorizationRules,Updates Namespace Authorization Rule (Deprecated),Microsoft.ServiceBus/namespaces/authorizationRules/action,Updates Namespace Authorization Rule. This API is depricated. Please use a PUT call to update the Namespace Authorization Rule instead.. This operation is not supported on API version 2017-04-01.,,False
Microsoft Azure ServiceBus,DisasterRecoveryConfigurations,Break Pairing,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/breakPairing/action,Disables Disaster Recovery and stops replicating changes from primary to secondary namespaces.,,False
Microsoft Azure ServiceBus,DisasterRecoveryConfigurations,Create or Update Disaster Recovery configuration.,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/write,Creates or Updates the Disaster Recovery configuration associated with the namespace.,,False
Microsoft Azure ServiceBus,DisasterRecoveryConfigurations,Delete Disaster Recovery configuration,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/delete,Deletes the Disaster Recovery configuration associated with the namespace. This operation can only be invoked via the primary namespace.,,False
Microsoft Azure ServiceBus,DisasterRecoveryConfigurations,Failover,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/failover/action,Invokes a GEO DR failover and reconfigures the namespace alias to point to the secondary namespace.,,False
Microsoft Azure ServiceBus,DisasterRecoveryConfigurations,Get Disaster Recovery configuration,Microsoft.ServiceBus/namespaces/disasterRecoveryConfigs/read,Gets the Disaster Recovery configuration associated with the namespace.,,False
Microsoft Azure ServiceBus,EventGridFilters,Create or Update Event Grid filter.,Microsoft.ServiceBus/namespaces/eventGridFilters/write,Creates or Updates the Event Grid filter associated with the namespace.,,False
Microsoft Azure ServiceBus,EventGridFilters,Delete Event Grid filter,Microsoft.ServiceBus/namespaces/eventGridFilters/delete,Deletes the Event Grid filter associated with the namespace.,,False
Microsoft Azure ServiceBus,EventGridFilters,GetEvent Grid filter configuration,Microsoft.ServiceBus/namespaces/eventGridFilters/read,Gets the Event Grid filter associated with the namespace.,,False
Microsoft Azure ServiceBus,IPFilter,Create IP Filter Resource,Microsoft.ServiceBus/namespaces/ipFilterRules/write,Create IP Filter Resource,,False
Microsoft Azure ServiceBus,IPFilter,Delete IP Filter Resource,Microsoft.ServiceBus/namespaces/ipFilterRules/delete,Delete IP Filter Resource,,False
Microsoft Azure ServiceBus,IPFilter,Get IP Filter Resource,Microsoft.ServiceBus/namespaces/ipFilterRules/read,Get IP Filter Resource,,False
Microsoft Azure ServiceBus,Messages,Receive messages,Microsoft.ServiceBus/namespaces/messages/receive/action,Receive messages,,True
Microsoft Azure ServiceBus,Messages,Send messages,Microsoft.ServiceBus/namespaces/messages/send/action,Send messages,,True
Microsoft Azure ServiceBus,Migrate namespace operation,Migrate namespace operation,Microsoft.ServiceBus/namespaces/migrate/action,Migrate namespace operation,,False
Microsoft Azure ServiceBus,MigrationConfigurations,Create or Update Migration configuration.,Microsoft.ServiceBus/namespaces/migrationConfigurations/write,Creates or Updates Migration configuration. This will start synchronizing resources from the standard to the premium namespace,,False
Microsoft Azure ServiceBus,MigrationConfigurations,Deletes the Migration configuration.,Microsoft.ServiceBus/namespaces/migrationConfigurations/delete,Deletes the Migration configuration.,,False
Microsoft Azure ServiceBus,MigrationConfigurations,Gets the Migration configuration.,Microsoft.ServiceBus/namespaces/migrationConfigurations/read,Gets the Migration configuration which indicates the state of the migration and pending replication operations,,False
Microsoft Azure ServiceBus,MigrationConfigurations,Revert,Microsoft.ServiceBus/namespaces/migrationConfigurations/revert/action,Reverts the standard to premium namespace migration,,False
Microsoft Azure ServiceBus,MigrationConfigurations,Upgrade,Microsoft.ServiceBus/namespaces/migrationConfigurations/upgrade/action,Assigns the DNS associated with the standard namespace to the premium namespace which completes the migration and stops the syncing resources from standard to premium namespace,,False
Microsoft Azure ServiceBus,Namespace,Create Or Update Namespace ,Microsoft.ServiceBus/namespaces/write,Create a Namespace Resource and Update its properties. Tags and Capacity of the Namespace are the properties which can be updated.,,False
