Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft SQL Database,A Database GeoBackup policy,Gets a collection of database geobackup policies,Microsoft.Sql/servers/databases/geoBackupPolicies/read,Retrieve geo backup policies for a given database,,False
Microsoft SQL Database,A Database GeoBackup policy,Set a geobackup policy on a database,Microsoft.Sql/servers/databases/geoBackupPolicies/write,Create or update a database geobackup policy,,False
Microsoft SQL Database,Add server to Network Security Perimeter,Join Network Security Perimeter,Microsoft.Sql/servers/joinPerimeter/action,Add server to Network Security Perimeter,,False
Microsoft SQL Database,Administrator of Azure SQL Managed Instance.,Create/Update Administrator of Azure SQL Managed Instance.,Microsoft.Sql/managedInstances/administrators/write,Creates or updates managed instance administrator with the specified parameters.,,False
Microsoft SQL Database,Administrator of Azure SQL Managed Instance.,Delete Administrator of Azure SQL Managed Instance.,Microsoft.Sql/managedInstances/administrators/delete,Deletes an existing administrator of managed instance.,,False
Microsoft SQL Database,Administrator of Azure SQL Managed Instance.,Get Administrators of Azure SQL Managed Instance.,Microsoft.Sql/managedInstances/administrators/read,Gets a list of managed instance administrators.,,False
Microsoft SQL Database,Administrator of Azure SQL Managed Instance.,Gets the Managed instance administrator operations result.,Microsoft.Sql/locations/administratorOperationResults/read,Gets the Managed instance administrator operations result.,,False
Microsoft SQL Database,Administrator of Azure SQL Managed Instance.,Gets the Managed instance azure async administrator operations result.,Microsoft.Sql/locations/administratorAzureAsyncOperation/read,Gets the Managed instance azure async administrator operations result.,,False
Microsoft SQL Database,Available REST operations,Get operations,Microsoft.Sql/operations/read,Gets available REST operations,,False
Microsoft SQL Database,Azure SQL DB Outbound Firewall Rule,Create outbound firewall rule,Microsoft.Sql/servers/outboundFirewallRules/write,Create outbound firewall rule,,False
Microsoft SQL Database,Azure SQL DB Outbound Firewall Rule,Delete outbound firewall rule,Microsoft.Sql/servers/outboundFirewallRules/delete,Delete outbound firewall rule,,False
Microsoft SQL Database,Azure SQL DB Outbound Firewall Rule,Read outbound firewall rule,Microsoft.Sql/servers/outboundFirewallRules/read,Read outbound firewall rule,,False
Microsoft SQL Database,Azure SQL DB job,Create or update Azure SQL DB job,Microsoft.Sql/servers/jobAgents/jobs/write,Creates or updates an Azure SQL DB job,,False
Microsoft SQL Database,Azure SQL DB job,Delete Azure SQL DB job,Microsoft.Sql/servers/jobAgents/jobs/delete,Deletes an Azure SQL DB job,,False
Microsoft SQL Database,Azure SQL DB job,Get Azure SQL DB job,Microsoft.Sql/servers/jobAgents/jobs/read,Gets an Azure SQL DB job,,False
Microsoft SQL Database,Azure SQL DB job agent,Create or update Azure SQL DB job agent,Microsoft.Sql/servers/jobAgents/write,Creates or updates an Azure SQL DB job agent,,False
Microsoft SQL Database,Azure SQL DB job agent,Delete Azure SQL DB job agent,Microsoft.Sql/servers/jobAgents/delete,Deletes an Azure SQL DB job agent,,False
Microsoft SQL Database,Azure SQL DB job agent,Get Azure SQL DB job agent,Microsoft.Sql/servers/jobAgents/read,Gets an Azure SQL DB job agent,,False
Microsoft SQL Database,Azure SQL DB job agent,Get job agent operation result,Microsoft.Sql/locations/jobAgentOperationResults/read,Gets the result of an job agent operation.,,False
Microsoft SQL Database,Azure SQL DB job agent,Get job agent operation status,Microsoft.Sql/locations/jobAgentAzureAsyncOperation/read,Gets the status of an job agent operation.,,False
Microsoft SQL Database,Azure SQL DB job credential,Create or update Azure SQL DB job credential,Microsoft.Sql/servers/jobAgents/credentials/write,Creates or updates an Azure SQL DB job credential,,False
Microsoft SQL Database,Azure SQL DB job credential,Delete Azure SQL DB job credential,Microsoft.Sql/servers/jobAgents/credentials/delete,Deletes an Azure SQL DB job credential,,False
Microsoft SQL Database,Azure SQL DB job credential,Get Azure SQL DB job credential,Microsoft.Sql/servers/jobAgents/credentials/read,Gets an Azure SQL DB job credential,,False
Microsoft SQL Database,Azure SQL DB job execution,Create or update a job execution,Microsoft.Sql/servers/jobAgents/jobs/executions/write,Creates or updates a job execution,,False
