Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Storage,,,Microsoft.Storage/locations/notifyNetworkSecurityPerimeterUpdatesAvailable/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/updateAccountContainerHoldingPeriod/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/updateInternalProperties/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/accountMigrations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/storageTaskAssignments/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/storageTaskAssignments/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/reports/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/storageTaskAssignments/reports/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/storageTaskAssignments/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/storageTaskAssignments/write,,,False
Microsoft Storage Actions,,,Microsoft.Storage/locations/previewActions/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/inventoryPolicies/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/inventoryPolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/inventoryPolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/consumerDataShare/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/consumerDataSharePolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/dataSharePolicies/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/consumerDataSharePolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/consumerDataSharePolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/dataSharePolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/dataSharePolicies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/consumerDataSharePolicies/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/dataSharePolicies/write,,,False
Microsoft Storage,,,Microsoft.Storage/deletedAccounts/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/hoboConfigurations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/hoboConfigurations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/hoboConfigurations/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/hoboConfigurations/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/localusers/regeneratePassword/action,,,False
Microsoft Storage Actions,,,Microsoft.Storage/operations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterAssociationProxies/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterAssociationProxies/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterConfigurations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterConfigurations/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterConfigurations/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/networkSecurityPerimeterAssociationProxies/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/encryptionScopes/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/privateEndpoints/move/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/containers/migrate/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/fileServices/shares/lease/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/fileServices/usages/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/fileServices/usages/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/queues/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/queues/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/queues/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/queueServices/queues/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/tables/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/tables/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/tables/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/tableServices/tables/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/accountLocks/deleteLock/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/accountLocks/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/accountLocks/write,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/accountLocks/delete,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/containers/blobs/permanentDelete/action,,,True
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/containers/blobs/immutableStorage/runAsSuperUser/action,,,True
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/containers/setAcl/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/containers/getAcl/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/blobServices/getInfo/action,,,False
Microsoft Storage,,,Microsoft.Storage/resilienciesProgressions/read,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/rotateKey/action,,,False
Microsoft Storage,,,Microsoft.Storage/unregister/action,,,False
Microsoft Storage,,,Microsoft.Storage/storageAccounts/inventoryPolicies/write,,,False
Microsoft Storage Actions,,,Microsoft.Storage/register/action,,,False
Microsoft Storage,,Delete table entities,Microsoft.Storage/storageAccounts/tableServices/tables/entities/delete,Delete table entities,,True
Microsoft Storage,,Storage Account Migration,Microsoft.Storage/storageAccounts/accountMigrations/write,Customer is able to update their storage account redundancy for increased resiliency,,False
Microsoft Storage,Abort Account HnsOn Migration,Abort Account HnsOn Migration,Microsoft.Storage/storageAccounts/hnsonmigration/action,Customer is able to abort an ongoing Hns migration on the storage account,,False
Microsoft Storage,Account HnsOn Migration,Account HnsOn Migration,Microsoft.Storage/storageAccounts/hnsonmigration/action,Customer is able to migrate to hns account type,,False
Microsoft Storage,ActionsRP operation status,Creates or updates an ActionsRP operation status,Microsoft.Storage/locations/ActionsRPOperationStatuses/write,Creates or updates an ActionsRP operation status,,False
Microsoft Storage,ActionsRP operation status,Get an ActionsRP operation status,Microsoft.Storage/locations/ActionsRPOperationStatuses/read,Get an ActionsRP operation status,,False
Microsoft Storage,Blob Service,List Blob Services,Microsoft.Storage/storageAccounts/blobServices/read,List blob services,,False
Microsoft Storage,Blob Service,Read log definition,Microsoft.Storage/storageAccounts/blobServices/providers/Microsoft.Insights/logDefinitions/read,Gets the log definition for Blob,system,False
Microsoft Storage,Blob service,Get list of Microsoft Storage Metrics definitions,Microsoft.Storage/storageAccounts/blobServices/providers/Microsoft.Insights/metricDefinitions/read,Get list of Microsoft Storage Metrics definitions.,system,False
Microsoft Storage,Blob service,Read diagnostic setting,Microsoft.Storage/storageAccounts/blobServices/providers/Microsoft.Insights/diagnosticSettings/read,Gets the diagnostic setting for the resource.,system,False
Microsoft Storage,Blob service,Write diagnostic setting,Microsoft.Storage/storageAccounts/blobServices/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting for the resource.,system,False
Microsoft Storage,File Service,List File Services,Microsoft.Storage/storageAccounts/fileServices/read,List file services,,False
Microsoft Storage,File Service,Put File Service Properties,Microsoft.Storage/storageAccounts/fileServices/write,Put file service properties,,False
Microsoft Storage,File Service,Read log definition,Microsoft.Storage/storageAccounts/fileServices/providers/Microsoft.Insights/logDefinitions/read,Gets the log definition for File,system,False
