Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft.DesktopVirtualization,,register,Microsoft.DesktopVirtualization/register/action,Register subscription,,False
Microsoft.DesktopVirtualization,activeSessionhostconfigurations,Read activeSessionhostconfigurations,Microsoft.DesktopVirtualization/hostpools/activeSessionhostconfigurations/read,Read the activeSessionhostconfigurations to see configurations present.,,False
Microsoft.DesktopVirtualization,appattachpackages,Create or update the diagnostic setting,Microsoft.DesktopVirtualization/appattachpackages/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting,,False
Microsoft.DesktopVirtualization,appattachpackages,Delete appattachpackages,Microsoft.DesktopVirtualization/appattachpackages/delete,Delete appattachpackages,,False
Microsoft.DesktopVirtualization,appattachpackages,Expand expandmsixfile,Microsoft.DesktopVirtualization/appattachpackages/msixfiles/action,Expand an expandmsixfile to desired output location,,False
Microsoft.DesktopVirtualization,appattachpackages,Get diagnostic setting,Microsoft.DesktopVirtualization/appattachpackages/providers/Microsoft.Insights/diagnosticSettings/read,Gets the diagnostic setting,,False
Microsoft.DesktopVirtualization,appattachpackages,Move appattachpackages,Microsoft.DesktopVirtualization/appattachpackages/move/action,Move appattachpackages to another ResourceGroup or Subscription,,False
Microsoft.DesktopVirtualization,appattachpackages,Read appattachpackages,Microsoft.DesktopVirtualization/appattachpackages/read,Read appattachpackages,,False
Microsoft.DesktopVirtualization,appattachpackages,Read log definitions,Microsoft.DesktopVirtualization/appattachpackages/providers/Microsoft.Insights/logDefinitions/read,Gets the available logs,,False
Microsoft.DesktopVirtualization,appattachpackages,Use app attach packages,Microsoft.DesktopVirtualization/appattachpackages/useapplications/action,Allow user permissioning on app attach packages in an application group,,True
Microsoft.DesktopVirtualization,appattachpackages,Write appattachpackages,Microsoft.DesktopVirtualization/appattachpackages/write,Write appattachpackages,,False
Microsoft.DesktopVirtualization,applicationgroups,Create or update the diagnostic setting,Microsoft.DesktopVirtualization/applicationgroups/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting,,False
Microsoft.DesktopVirtualization,applicationgroups,Delete applicationgroups,Microsoft.DesktopVirtualization/applicationgroups/delete,Delete applicationgroups,,False
Microsoft.DesktopVirtualization,applicationgroups,Get diagnostic setting,Microsoft.DesktopVirtualization/applicationgroups/providers/Microsoft.Insights/diagnosticSettings/read,Gets the diagnostic setting,,False
Microsoft.DesktopVirtualization,applicationgroups,Move applicationgroups,Microsoft.DesktopVirtualization/applicationgroups/move/action,Move a applicationgroups to another resource group,,False
Microsoft.DesktopVirtualization,applicationgroups,Read applicationgroups,Microsoft.DesktopVirtualization/applicationgroups/read,Read applicationgroups,,False
Microsoft.DesktopVirtualization,applicationgroups,Read log definitions,Microsoft.DesktopVirtualization/applicationgroups/providers/Microsoft.Insights/logDefinitions/read,Gets the available logs,,False
Microsoft.DesktopVirtualization,applicationgroups,Use ApplicationGroup,Microsoft.DesktopVirtualization/applicationgroups/useapplications/action,Use ApplicationGroup,,True
Microsoft.DesktopVirtualization,applicationgroups,Write applicationgroups,Microsoft.DesktopVirtualization/applicationgroups/write,Write applicationgroups,,False
Microsoft.DesktopVirtualization,applicationgroups/applications,Delete applicationgroups/applications,Microsoft.DesktopVirtualization/applicationgroups/applications/delete,Delete applicationgroups/applications,,False
Microsoft.DesktopVirtualization,applicationgroups/applications,Read applicationgroups/applications,Microsoft.DesktopVirtualization/applicationgroups/applications/read,Read applicationgroups/applications,,False
Microsoft.DesktopVirtualization,applicationgroups/applications,Write applicationgroups/applications,Microsoft.DesktopVirtualization/applicationgroups/applications/write,Write applicationgroups/applications,,False
Microsoft.DesktopVirtualization,applicationgroups/desktops,Delete applicationgroups/desktops,Microsoft.DesktopVirtualization/applicationgroups/desktops/delete,Delete applicationgroups/desktops,,False
Microsoft.DesktopVirtualization,applicationgroups/desktops,Read applicationgroups/desktops,Microsoft.DesktopVirtualization/applicationgroups/desktops/read,Read applicationgroups/desktops,,False
Microsoft.DesktopVirtualization,applicationgroups/desktops,Write applicationgroups/desktops,Microsoft.DesktopVirtualization/applicationgroups/desktops/write,Write applicationgroups/desktops,,False
Microsoft.DesktopVirtualization,applicationgroups/externaluserassignments,,Microsoft.DesktopVirtualization/applicationgroups/externaluserassignments/read,,,False
Microsoft.DesktopVirtualization,applicationgroups/externaluserassignments,,Microsoft.DesktopVirtualization/applicationgroups/externaluserassignments/write,,,False
Microsoft.DesktopVirtualization,applicationgroups/externaluserassignments,,Microsoft.DesktopVirtualization/applicationgroups/externaluserassignments/add,,,False
Microsoft.DesktopVirtualization,applicationgroups/externaluserassignments,,Microsoft.DesktopVirtualization/applicationgroups/externaluserassignments/replace,,,False
Microsoft.DesktopVirtualization,applicationgroups/externaluserassignments,,Microsoft.DesktopVirtualization/applicationgroups/externaluserassignments/remove,,,False
Microsoft.DesktopVirtualization,applicationgroups/startmenuitems,startmenuitems,Microsoft.DesktopVirtualization/applicationgroups/startmenuitems/read,Read start menu items,,False
